arm,mode,KRT,period,RMSE_kg_ha,MAE_kg_ha,Bias_kg_ha,improvement_vs_M15_13p8_pct,improvement_vs_H0TT_pct
RGFIL13P8,rgfill,0.7,2019,1403.9523674256188,1245.75,-617.75,47.14432793253803,52.84433993789281
RGFIL13P8,rgfill,0.7,2020,3058.4745380663217,2873.0,2873.0,-15.144737785614593,-2.727406550213143
RGFIL13P8,rgfill,0.7,ALL8,2379.6374461249343,2059.375,1127.625,10.41196310494068,20.073232479895122
RGFIL13P8,rgfill,0.8,2019,1430.8940387044738,1275.25,-676.75,46.1300341608229,51.93942868747746
RGFIL13P8,rgfill,0.8,2020,3322.49288938291,3152.5,3152.5,-25.084439246120798,-11.595200012232167
RGFIL13P8,rgfill,0.8,ALL8,2557.9695805462584,2213.875,1237.875,3.698156401264579,14.083449846213648
RGFIL13P8,rgfill,0.9,2019,1459.72437466804,1304.75,-735.75,45.04463638049847,50.971081360518525
RGFIL13P8,rgfill,0.9,2020,3198.8469016193944,3022.0,3022.0,-20.42944386784487,-7.44220429649346
RGFIL13P8,rgfill,0.9,ALL8,2486.3041597922006,2163.375,1143.125,6.3961994872269265,16.49053309041443
RGFIL13P8,rgfill,1.0,2019,1490.3337713411718,1334.25,-794.75,43.89226093651914,49.94297931253299
RGFIL13P8,rgfill,1.0,2020,2985.3245217228896,2795.0,2795.0,-12.390802990328336,-0.27045901818711915
RGFIL13P8,rgfill,1.0,ALL8,2359.3703874127095,2064.625,1000.125,11.174972615747393,20.75395823189829
