date,year,dtr_c,srad,clouds,sclear,sndn_h,obs_sunset_h,obs_gap_h,tmax_c,tmin_c,official_ts_c,observed_near_sunset_c,sunset_error_c,dtr_cloud_x
2021-06-17,2021,10.0,22.91,0.31334360184485655,33.36457660855248,19.639371156999037,19.32138888888889,0.31787748555555556,32.0,22.0,29.27577091738635,30.0,-0.7242290826136504,0.0
2021-06-18,2021,11.0,27.12,0.1875083193839343,33.37880331209849,19.64169836914314,19.317777777777778,0.32369266361111115,33.0,22.0,30.001863777272582,31.0,-0.9981362227274175,0.0
2021-06-19,2021,6.0,13.68,0.5902900694859389,33.38947626394061,19.643445472708866,19.314444444444444,0.32894002694444446,31.0,25.0,29.364045340115645,26.0,3.364045340115645,0.0
2021-06-20,2021,16.0,19.59,0.41341321985848245,33.39659307574882,19.644611036013124,19.310833333333335,0.333612095,31.0,15.0,26.63637342845161,18.0,8.63637342845161,0.4960958638301787
2021-06-21,2021,12.0,27.87,0.16557266352632583,33.40015215438629,19.645194102196037,19.307222222222222,0.33770184722222224,27.0,15.0,23.726874610808412,26.0,-2.2731253891915877,0.0
2021-06-22,2021,11.0,15.35,0.5404212628452977,33.40015270295875,19.645194192074904,19.30388888888889,0.34120273305555554,29.0,18.0,25.99963500261692,19.0,6.99963500261692,0.0
2021-06-23,2021,9.0,22.16,0.3364592951796429,33.39659472134338,19.64461130557584,19.30027777777778,0.34410868166666664,24.0,15.0,21.545459912910044,22.0,-0.4545400870899563,0.0
2021-06-24,2021,15.0,31.01,0.07126433466505411,33.38947900618884,19.64344592173397,19.296944444444446,0.3464141088888889,32.0,17.0,27.91011295991055,29.0,-1.089887040089451,0.01425286693301077
2021-06-25,2021,7.0,16.12,0.5170588353450706,33.37880715038662,19.641698997262278,19.293333333333337,0.34811392444444444,24.0,17.0,22.092094876101186,18.0,4.092094876101186,0.0
2021-06-26,2021,10.0,18.11,0.4572088375455585,33.364581542021774,19.639371963698046,19.290000000000003,0.34920353555555556,25.0,15.0,22.275770449603666,23.0,-0.7242295503963341,0.0
2021-06-27,2021,6.0,18.85,0.43472846064538384,33.34680536281995,19.63646672314477,19.28666666666667,0.3496788522222222,23.0,17.0,21.366473244445164,22.0,-0.6335267555548363,0.0
2021-06-28,2021,14.0,32.08,0.03737327982863603,33.32548258611522,19.632985642636104,19.283333333333335,0.3495362875,30.0,16.0,26.191265134059655,27.0,-0.8087348659403446,0.0
2021-06-29,2021,13.0,30.28,0.0907075651477679,33.30061797437121,19.628931547156824,19.279999999999998,0.34877276,32.0,19.0,28.466376771122984,29.0,-0.5336232288770155,0.0
2021-06-30,2021,10.0,21.85,0.34329594117829487,33.27221707629535,19.62430771136379,19.276666666666667,0.3473856908333333,32.0,22.0,29.284513550636927,29.0,0.28451355063692674,0.0
