date,year,month,n_hours,tmax_c,tmin_c,dtr_c,dtr_bin,observed_tmax_solar_h,tmax_minus_1h_c,tmax_minus_2h_c,tmax_minus_3h_c,norm_drop_1h,norm_drop_2h,norm_drop_3h,htemp_daily_rmse,htemp_daily_bias
2020-11-19,2020,11,24,-5.0,-7.0,2.0,<10,17.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5170193842212145,-0.1151131979758961
2020-11-20,2020,11,24,-2.0,-8.0,6.0,<10,13.05,0.0,2.0,2.0,0.0,0.3333333333333333,0.3333333333333333,1.325283336494979,0.4441263543856717
2020-11-21,2020,11,24,-5.0,-10.0,5.0,<10,14.55,0.0,0.0,1.0,0.0,0.0,0.2,0.7449419482318534,-0.4997605038734569
2020-11-22,2020,11,24,-5.0,-10.0,5.0,<10,14.033333333333333,0.0,1.0,1.0,0.0,0.2,0.2,0.47282650964889666,-0.0015255600413611365
2020-11-23,2020,11,24,-3.0,-10.0,7.0,<10,14.033333333333333,0.0,1.0,1.0,0.0,0.14285714285714285,0.14285714285714285,1.812673369581557,-1.2045781176139274
2020-11-24,2020,11,24,-1.0,-5.0,4.0,<10,13.033333333333333,0.0,0.0,1.0,0.0,0.0,0.25,0.9016739432818477,0.05434840331427323
2020-11-25,2020,11,24,-2.0,-6.0,4.0,<10,14.016666666666667,1.0,2.0,3.0,0.25,0.5,0.75,1.3835845051360858,0.6363472606374951
2020-11-26,2020,11,24,-5.0,-9.0,4.0,<10,16.516666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0085353923849414,-0.7816232720331557
2020-11-27,2020,11,24,-1.0,-7.0,6.0,<10,13.516666666666667,0.0,1.0,2.0,0.0,0.16666666666666666,0.3333333333333333,1.201970188850904,0.3881568205133581
2020-11-28,2020,11,24,-3.0,-7.0,4.0,<10,18.5,1.0,1.0,1.0,0.25,0.25,0.25,0.8941253686546062,-0.07581324495663316
2020-11-29,2020,11,24,-1.0,-4.0,3.0,<10,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7866939144000502,-0.516092378773948
2020-11-30,2020,11,24,-3.0,-5.0,2.0,<10,9.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0262393463718122,0.03913442235507427
2020-12-01,2020,12,24,-5.0,-8.0,3.0,<10,3.9833333333333334,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.78251841427277,-0.3975540453348983
2020-12-02,2020,12,24,-8.0,-12.0,4.0,<10,6.4833333333333325,2.0,2.0,2.0,0.5,0.5,0.5,2.1917778972503354,-0.5001087948133823
2020-12-03,2020,12,24,-9.0,-14.0,5.0,<10,14.466666666666667,2.0,3.0,3.0,0.4,0.6,0.6,1.1612361919551772,0.6864598908692311
2020-12-04,2020,12,24,-9.0,-14.0,5.0,<10,18.466666666666665,2.0,3.0,2.0,0.4,0.6,0.4,0.7730819694176793,0.14394079534191442
2020-12-05,2020,12,24,-9.0,-13.0,4.0,<10,13.466666666666667,0.0,1.0,2.0,0.0,0.25,0.5,0.6961907875883427,0.08117549326986954
2020-12-06,2020,12,24,-8.0,-13.0,5.0,<10,13.45,1.0,2.0,3.0,0.2,0.4,0.6,2.0290027699641366,-0.02428018655945796
