date,old_01605500,new_01605500,abs_diff_01605500,old_01606000,new_01606000,abs_diff_01606000,old_01606500,new_01606500,abs_diff_01606500
2003-05-31,23.52,23.52,0.0,40.71,40.71,0.0,64.18,64.18,0.0
2003-06-01,21.66,21.66,0.0,36.2,36.2,0.0,58.09,58.09,0.0
2003-06-02,22.02,22.02,0.0,35.57,35.57,0.0,58.0,58.0,0.0
2003-06-03,32.38,32.38,0.0,44.56,44.56,0.0,74.29,74.29,0.0
2003-06-04,27.26,27.26,0.0,38.45,38.45,0.0,65.79,65.79,0.0
2003-06-05,24.45,24.45,0.0,37.93,37.93,0.0,62.79,62.79,0.0
2003-06-06,26.47,26.47,0.0,41.83,41.83,0.0,68.59,68.59,0.0
2003-06-07,27.13,27.13,0.0,43.72,43.72,0.0,70.78,70.78,0.0
2003-06-08,26.87,26.87,0.0,43.5,43.5,0.0,70.66,70.66,0.0
2003-06-09,23.85,23.85,0.0,39.2,39.2,0.0,61.28,61.28,0.0
2003-06-10,20.65,20.65,0.0,39.21,39.21,0.0,60.21,60.21,0.0
2003-06-11,22.07,22.07,0.0,39.52,39.52,0.0,61.88,61.88,0.0
2003-06-12,22.97,22.97,0.0,35.8,35.8,0.0,59.14,59.14,0.0
2003-06-13,25.11,25.11,0.0,39.07,39.07,0.0,64.37,64.37,0.0
2003-06-14,23.86,23.86,0.0,36.88,36.88,0.0,61.57,61.57,0.0
2003-06-15,25.52,25.52,0.0,38.26,38.26,0.0,64.0,64.0,0.0
2003-06-16,28.03,28.03,0.0,41.06,41.06,0.0,68.42,68.42,0.0
2003-06-17,26.92,26.92,0.0,41.7,41.7,0.0,68.84,68.84,0.0
2003-06-18,23.52,23.52,0.0,40.57,40.57,0.0,65.39,65.39,0.0
2003-06-19,25.52,25.52,0.0,40.63,40.63,0.0,67.0,67.0,0.0
2003-06-20,20.44,20.44,0.0,39.87,39.87,0.0,60.49,60.49,0.0
2003-06-21,21.64,21.64,0.0,39.65,39.65,0.0,61.21,61.21,0.0
2003-06-22,21.53,21.53,0.0,35.26,35.26,0.0,57.18,57.18,0.0
2003-06-23,21.78,21.78,0.0,35.97,35.97,0.0,58.12,58.12,0.0
2003-06-24,21.65,21.65,0.0,34.03,34.03,0.0,56.0,56.0,0.0
2003-06-25,21.29,21.29,0.0,33.96,33.96,0.0,55.56,55.56,0.0
2003-06-26,20.12,20.12,0.0,34.41,34.41,0.0,55.14,55.14,0.0
2003-06-27,19.91,19.91,0.0,34.21,34.21,0.0,54.19,54.19,0.0
2003-06-28,18.29,18.29,0.0,32.31,32.31,0.0,50.18,50.18,0.0
2003-06-29,17.65,17.65,0.0,32.12,32.12,0.0,49.86,49.86,0.0
2003-06-30,17.9,17.9,0.0,30.38,30.38,0.0,48.3,48.3,0.0
2003-07-01,17.56,17.56,0.0,29.59,29.59,0.0,47.39,47.39,0.0
2003-07-02,17.62,17.62,0.0,28.46,28.46,0.0,46.2,46.2,0.0
2003-07-03,16.96,16.96,0.0,28.16,28.16,0.0,45.27,45.27,0.0
2003-07-04,16.86,16.86,0.0,28.33,28.33,0.0,45.18,45.18,0.0
2003-07-05,16.65,16.65,0.0,28.1,28.1,0.0,44.66,44.66,0.0
2003-07-06,16.15,16.15,0.0,27.05,27.05,0.0,42.5,42.5,0.0
2003-07-07,15.6,15.6,0.0,29.05,29.05,0.0,46.07,46.07,0.0
2003-07-08,15.76,15.76,0.0,28.77,28.77,0.0,45.28,45.28,0.0
2003-07-09,16.23,16.23,0.0,30.29,30.29,0.0,47.58,47.58,0.0
2003-07-10,15.66,15.66,0.0,29.64,29.64,0.0,46.1,46.1,0.0
2003-07-11,15.5,15.5,0.0,28.62,28.62,0.0,44.68,44.68,0.0
2003-07-12,15.39,15.39,0.0,28.75,28.75,0.0,44.78,44.78,0.0
2003-07-13,14.73,14.73,0.0,26.86,26.86,0.0,42.23,42.23,0.0
2003-07-14,14.73,14.73,0.0,27.22,27.22,0.0,42.46,42.46,0.0
2003-07-15,14.52,14.52,0.0,24.51,24.51,0.0,38.86,38.86,0.0
2003-07-16,13.98,13.98,0.0,24.67,24.67,0.0,38.25,38.25,0.0
2003-07-17,12.82,12.82,0.0,25.15,25.15,0.0,38.34,38.34,0.0
2003-07-18,13.09,13.09,0.0,25.31,25.31,0.0,38.7,38.7,0.0
2003-07-19,12.84,12.84,0.0,24.92,24.92,0.0,38.05,38.05,0.0
2003-07-20,12.78,12.78,0.0,24.0,24.0,0.0,36.97,36.97,0.0
2003-07-21,12.61,12.61,0.0,23.12,23.12,0.0,35.87,35.87,0.0
