*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:13:41

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                                    NH4 (ppm) at soil dep. (cm):                                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    NT10    
 2020 161    37    13     1    21.3    19.6     1.7     0.0   29.39   49.76    0.12    0.00    6.23   29.39   41.00    5.18    0.00    1.94     0.3     0.3    0.28    0.28    0.28    0.38    0.99    1.67    3.49    0.04    0.08    0.08    0.09    0.09    0.08    0.08    0.11    0.17    0.15    1.98    0.36    0.36    0.37    0.37    0.36    0.46    1.10    1.84    3.64
 2020 162    38    13     1    20.8    19.2     1.6     0.0   29.79   50.20    0.12    0.00    6.25   29.79   41.86    5.18    0.00    1.95     0.3     0.3    0.28    0.28    0.27    0.35    0.92    1.46    3.52    0.03    0.08    0.08    0.08    0.08    0.08    0.08    0.10    0.14    0.15    1.98    0.36    0.36    0.36    0.36    0.35    0.43    1.02    1.61    3.67
 2020 163    39    13     1    18.6    17.0     1.6     0.0   30.14   50.60    0.12    0.00    6.26   30.14   44.40    5.18    0.00    1.96     0.3     0.3    0.28    0.27    0.27    0.33    0.87    1.29    2.98    0.02    0.08    0.08    0.08    0.08    0.07    0.08    0.09    0.13    0.15    1.98    0.36    0.36    0.36    0.36    0.35    0.40    0.97    1.42    3.13
 2020 164    40    13     1    16.6    15.1     1.5     0.0   30.49   51.00    0.12    0.00    6.27   30.49   46.76    5.18    0.00    1.96     0.3     0.3    0.28    0.27    0.27    0.31    0.83    1.16    2.46    0.02    0.08    0.08    0.08    0.08    0.07    0.07    0.09    0.12    0.15    1.98    0.36    0.36    0.36    0.35    0.34    0.39    0.92    1.27    2.62
 2020 165    41    13     1    14.9    13.5     1.4     0.0   30.84   51.40    0.12    0.00    6.28   30.84   48.76    5.18    0.00    1.97     0.3     0.3    0.28    0.27    0.27    0.31    0.80    1.05    2.04    0.02    0.08    0.08    0.08    0.07    0.07    0.07    0.08    0.11    0.15    1.99    0.36    0.36    0.35    0.35    0.34    0.38    0.88    1.16    2.19
 2020 166    42    13     1    13.5    12.1     1.4     0.0   31.17   51.78    0.12    0.00    6.29   31.17   50.46    5.18    0.00    1.97     0.3     0.3    0.28    0.27    0.27    0.30    0.77    0.96    1.69    0.03    0.08    0.08    0.07    0.07    0.07    0.07    0.08    0.10    0.14    2.00    0.35    0.35    0.35    0.35    0.34    0.37    0.85    1.06    1.83
 2020 167    43    26     2    19.1    11.2     7.9     4.1   31.47   52.13    0.12    0.00    8.45   31.47   51.91    5.18    0.00    0.48     0.9     0.7    0.29    0.27    0.27    0.30    0.74    0.88    1.41    8.77    0.07    0.08    0.07    0.07    0.06    0.06    0.07    0.09    0.13    9.25    0.93    0.81    0.36    0.34    0.33    0.36    0.81    0.97    1.54
 2020 168    44    26     2    16.7    10.7     6.0     1.1   31.88   53.48    0.12    0.00    9.20   31.88   56.99    5.18    0.00    1.74     0.4     0.4    0.36    0.27    0.27    0.29    0.71    0.82    1.27    6.20    0.11    0.11    0.07    0.07    0.06    0.06    0.07    0.09    0.12    7.94    0.52    0.48    0.43    0.34    0.33    0.36    0.78    0.91    1.39
 2020 169    45    26     2    13.1    10.8     2.3     0.5   32.44   55.33    0.12    0.00    9.96   32.44   61.00    5.18    0.00    2.82     0.3     0.3    0.28    0.28    0.27    0.30    0.70    0.78    1.17    0.95    0.33    0.13    0.10    0.06    0.06    0.06    0.07    0.08    0.11    3.77    0.64    0.44    0.38    0.34    0.33    0.36    0.76    0.86    1.28
 2020 170    46    26     2    11.8     9.9     1.9     0.2   33.01   56.32    0.12    0.00   10.03   33.01   63.08    5.18    0.00    1.77     0.5     0.3    0.30    0.28    0.28    0.30    0.68    0.74    1.08    0.40    0.33    0.15    0.11    0.06    0.06    0.06    0.06    0.08    0.10    2.17    0.80    0.46    0.41    0.34    0.34    0.36    0.74    0.81    1.17
