K_RT,gain_scale,cal_all_rmse,cal_high_rmse,cal_all_bias,cal_high_bias
2.6,0.5,2.4209562778044633,5.547613739048759,0.44494182142318095,1.4650676710794048
2.7,0.5,2.423618206217296,5.575887144496348,0.44552096131964697,1.479191455811362
2.8,0.5,2.424532865177094,5.58557620806104,0.44575505178182157,1.4849003412045687
2.9,0.5,2.4262785336496173,5.604031838671144,0.44616941688430783,1.4950056776589626
3.0,0.5,2.4279303265255456,5.621451375688613,0.44657524038324625,1.5049027056018673
-2.0,1.0,2.285315458120101,5.306028761112124,0.24991436726811528,1.253659240332936
-1.9,1.0,2.2862970920724996,5.305901137815364,0.2544596060581902,1.2544026765637983
-1.8,1.0,2.287487860625592,5.305772638006835,0.2593925090612965,1.2551720980953678
-1.7,1.0,2.2887986891438197,5.305643494328243,0.26478565608913435,1.2559688025129885
-1.6,1.0,2.2901582374429696,5.305513985642873,0.27058402653661656,1.2567941840733812
-1.5,1.0,2.291939309889636,5.305384445937169,0.27689193667430817,1.257649745176718
-1.4,1.0,2.2942170509306012,5.305255275222139,0.2837870477184155,1.2585371098961544
-1.3,1.0,2.2970064142630875,5.305126952957529,0.2911787636349292,1.259458040052014
-1.2,1.0,2.2998668471022135,5.305000054675748,0.2989193050142997,1.2604144544548956
-1.1,1.0,2.303033128043639,5.304875272686475,0.3069752634257927,1.2614084521222435
-1.0,1.0,2.3065914277559654,5.304753442014045,0.3153776455017917,1.2624423405110032
-0.9,1.0,2.3098725911688236,5.304635573082158,0.3237917548232046,1.2635186701249204
-0.8,1.0,2.31346058602529,5.304522893147255,0.3322296455442589,1.264640277276117
-0.7,1.0,2.3173020732688316,5.304416899139148,0.3408879888004314,1.2658103373442282
-0.6,1.0,2.321234865454724,5.304319425459647,0.34930315201754947,1.2670324316341912
-0.5,1.0,2.3256151597444625,5.304232731507766,0.3577349635425237,1.2683106319569752
-0.4,1.0,2.330599507347153,5.30415961537245,0.36630613328127165,1.2696496084451288
-0.3,1.0,2.335451809362143,5.30410356244493,0.3743118975619496,1.2710547680050597
-0.2,1.0,2.340038077367232,5.3040689409188815,0.38170021262181464,1.2725324333941876
-0.1,1.0,2.3453074293277365,5.304061260655148,0.3887816924946426,1.2740900764666767
0.0,1.0,2.3508081507292133,5.304087518260361,0.3953700053842548,1.2757366240441885
0.1,1.0,2.3564897820644783,5.3041566603168375,0.40149339932980055,1.277482861691971
0.2,1.0,2.3609566324382247,5.304280209790393,0.4067870153734369,1.2793419702130724
0.3,1.0,2.3646048296352413,5.304473119699804,0.4114477404230896,1.281330243071266
0.4,1.0,2.368431020699534,5.304754946208606,0.415615198089132,1.283468051908784
0.5,1.0,2.372584470196852,5.305151475201452,0.4194640553664747,1.2857811543364979
0.6,1.0,2.3757932078679884,5.305696999812332,0.42275628631369494,1.2883024769652145
0.7,1.0,2.378625526368806,5.306437543738002,0.42566642775471475,1.2910745628215634
0.8,1.0,2.381872519792893,5.3074354770112375,0.4283364503523624,1.2941529543720822
0.9,1.0,2.385314778914876,5.308776211509008,0.43066966870732265,1.2976109044554442
1.0,1.0,2.388300065741764,5.310578050967701,0.432681394221315,1.3015459878134013
1.1,1.0,2.3915535338265195,5.313006904694752,0.43446598004956766,1.3060894574706794
1.2,1.0,2.394462155781966,5.316298630137496,0.43597885623269156,1.3114196033760859
1.3,1.0,2.396720267320976,5.3207935566102105,0.43722719011369554,1.3177810060800554
1.4,1.0,2.3985489489542293,5.3269908189526225,0.43821574592852686,1.3255125657392928
1.5,1.0,2.40043862475368,5.33563552103932,0.43911846925509185,1.3350887376727647
1.6,1.0,2.402199504817268,5.347862791604266,0.43990498887556506,1.3468680593263247
1.7,1.0,2.4040221990645088,5.365425460171076,0.4406484025796142,1.3617232299083097
1.8,1.0,2.405777297830815,5.384277083144921,0.4412899318880549,1.3762985417483857
1.9,1.0,2.4077263986515525,5.405374464442063,0.4418871325383348,1.3905713904813346
2.0,1.0,2.410124463847398,5.431375036854214,0.4425243568740202,1.4061117105285368
2.1,1.0,2.41286651010869,5.460984930456745,0.44319669122448185,1.422508276698068
2.2,1.0,2.4159365395163195,5.493986787048611,0.4438814925276342,1.4392088809025227
2.3,1.0,2.418481182321754,5.521222944530818,0.4444281283337324,1.4525399715409377
2.4,1.0,2.4196128449338996,5.533301605999785,0.444717281964338,1.4595917109532253
2.5,1.0,2.4211819312060814,5.55001487353124,0.4450655224524445,1.4680844321747832
2.6,1.0,2.4230622295724378,5.569991188393261,0.44547527035983525,1.4780771667000168
2.7,1.0,2.4251189731302754,5.591777993937949,0.4459271698681294,1.4890978741570087
2.8,1.0,2.426166049201438,5.602844058395207,0.446181658077887,1.4953042099894571
2.9,1.0,2.4276711515516953,5.6187209476542845,0.44652743482253754,1.5037368466227852
3.0,1.0,2.4289119079864996,5.63178304704828,0.4468237760196248,1.5109638729430417
