mode,arm,DTRc_C,alpha,split,DTR_bin,n,rmse,mae,mbe,r2
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_val_2017_2024,14-<14.3,190,3.383468271982799,2.2897192688325125,0.28774293383612537,0.6970972174945248
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_val_2017_2024,14.3-<14.5,134,2.5498323001560044,1.7037894616504023,-0.03227266913091968,0.8386074202416743
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_val_2017_2024,14.5-<14.8,101,2.739862431358053,2.061372898029459,-0.6908576240482961,0.7884966143290449
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_val_2017_2024,14.8-<15,104,3.3391787649734344,2.6061210980591327,0.1454702169152806,0.7742812663464811
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_val_2017_2024,15-<18,856,4.4161620660708305,3.1626589749634433,0.3366015644024708,0.651674282334332
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_val_2017_2024,18-<20,72,5.5549300754670625,4.395503410055397,-0.6143594557634268,0.5014480877737257
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_val_2017_2024,14-<14.3,190,3.383468271982799,2.2897192688325125,0.28774293383612537,0.6970972174945248
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_val_2017_2024,14.3-<14.5,134,2.561571426135907,1.7108264524326842,-0.017990628468662756,0.8374013395464666
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_val_2017_2024,14.5-<14.8,101,2.757058536083038,2.0625203885406544,-0.6187445355902617,0.7825106238028827
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_val_2017_2024,14.8-<15,104,3.378536238052487,2.640024051478979,0.22890893005312088,0.7689113969249681
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_val_2017_2024,15-<18,856,4.4268472838720845,3.172284954895989,0.3883673192659319,0.6500425795208988
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_val_2017_2024,18-<20,72,5.552457607866899,4.392381915566813,-0.6044030423109626,0.5013200961229297
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14-<14.3,190,3.383468271982799,2.2897192688325125,0.28774293383612537,0.6970972174945248
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14.3-<14.5,134,2.561571426135907,1.7108264524326842,-0.017990628468662756,0.8374013395464666
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14.5-<14.8,101,2.776812636799741,2.070814259815712,-0.5774991803356947,0.7774934046251968
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14.8-<15,104,3.4595844112593244,2.7115961235742905,0.3677796337972078,0.7586933828794991
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,15-<18,856,4.455076023708645,3.2000458539614223,0.49386706988447704,0.6459400173917564
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,18-<20,72,5.542573380959222,4.377893481552851,-0.5567895583807188,0.5006853135296688
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
