year,date,TMAX_C,TMIN_C,TMIN_source,red_y,black_y,Meng_single_T_C,RAIN_mm
2019,2019-07-21,35.769077126799345,9.764519393298556,mean_identity_fallback,324.0,,22.76679826004895,0.421052631578948
2019,2019-07-22,36.25596095419499,23.110097614512526,black_curve,317.0,506.0,30.961793802448426,0.0
2019,2019-07-23,34.864864304493146,22.97098794954234,black_curve,337.0,508.0,31.515151109013985,0.0
2019,2019-07-24,31.03934851781306,22.031997710993593,black_curve,392.0,521.5,26.64031280854633,0.0
2019,2019-07-25,30.34380019296214,12.712846389721424,mean_identity_fallback,402.0,,21.52832329134178,0.0
2019,2019-07-26,32.43044516751491,29.49314243738194,mean_identity_fallback,372.0,,30.961793802448426,0.0
2019,2019-07-27,32.70866449745528,30.32163772057269,mean_identity_fallback,368.0,,31.515151109013985,0.0
2019,2019-07-28,34.586644974552776,19.632355990257906,black_curve,341.0,556.0,26.64031280854633,0.0
2019,2019-07-29,37.855722101352114,4.7793208290727165,mean_identity_fallback,294.0,,21.317521465212415,0.0
2019,2019-07-30,37.5427253551692,9.466490649103527,mean_identity_fallback,298.5,,23.504608002136365,0.0
2019,2019-07-31,36.325515786680086,14.636269639181805,mean_identity_fallback,316.0,,25.480892712930945,0.0
2019,2019-08-01,37.786167268867025,16.81198148875535,mean_identity_fallback,295.0,,27.299074378811188,0.0
2019,2019-08-02,39.73370257844961,26.274842492584227,black_curve,267.0,460.5,30.513834058312938,0.0
2019,2019-08-03,40.29014123833035,26.587839238767145,black_curve,259.0,456.0,32.49011876910752,0.0
2019,2019-08-04,40.01192190838998,25.787958665188583,black_curve,263.0,467.5,31.330698673492133,0.25263157894736876
2019,2019-08-05,38.82948975614342,25.05763292409511,black_curve,280.0,478.0,35.09881565955944,0.0
2019,2019-08-06,38.690380091173225,13.905134565047057,mean_identity_fallback,282.0,,26.29775732811014,0.526315789473685
2019,2019-08-07,39.49026066475179,22.275439624691415,black_curve,270.5,518.0,33.491435819808565,0.0
2019,2019-08-08,40.42925090330054,12.16626375291974,mean_identity_fallback,257.0,,26.29775732811014,0.0
2019,2019-08-09,33.543322487276384,2.1878986506711726,mean_identity_fallback,356.0,,17.86561056897378,3.178947368421057
2019,2019-08-10,31.248013015268338,8.751983634097048,mean_identity_fallback,389.0,,19.999998324682693,0.0
2019,2019-08-11,34.16931597964222,7.833314771125259,mean_identity_fallback,347.0,,21.00131537538374,0.0
2019,2019-08-12,37.577502771411744,9.431713232860986,mean_identity_fallback,298.0,,23.504608002136365,0.0
2019,2019-08-13,39.31637358353906,12.699441076777376,mean_identity_fallback,273.0,,26.00790733015822,0.0
2019,2019-08-14,34.44753530958259,22.379771873419052,black_curve,343.0,516.5,28.010541431560316,0.1684210526315792
2019,2019-08-15,31.943561340119263,12.061703512050318,mean_identity_fallback,379.0,,22.00263242608479,0.1473684210526318
2019,2019-08-16,29.648251868111213,17.58048843194768,black_curve,412.0,585.5,21.00131537538374,1.652631578947371
2019,2019-08-17,28.326710050894455,15.667730538607636,black_curve,431.0,613.0,20.500656850033216,1.2210526315789492
2019,2019-08-18,29.161368040715566,8.835994507247719,mean_identity_fallback,419.0,,18.998681273981642,0.12631578947368438
2019,2019-08-19,28.04849072095409,17.47615618322004,black_curve,435.0,587.0,21.00131537538374,0.6526315789473693
2019,2019-08-20,30.830684020357783,19.21502699534735,black_curve,395.0,562.0,23.504608002136365,0.0
2019,2019-08-21,33.68243215224658,20.188794650138647,black_curve,354.0,548.0,24.00526652748689,0.210526315789474
2019,2019-08-22,32.63910966497019,19.632355990257906,black_curve,369.0,556.0,23.504608002136365,0.0
2019,2019-08-23,30.13513569550686,18.03259484310078,black_curve,405.0,579.0,23.003949476785838,0.0
2019,2019-08-24,30.622019522902505,17.719598096917863,black_curve,398.0,583.5,21.501973900734267,0.8736842105263171
2019,2019-08-25,32.917328994910555,10.08661880655798,mean_identity_fallback,365.0,,21.501973900734267,0.0
2019,2019-08-26,35.2821932994037,12.728339755570076,mean_identity_fallback,331.0,,24.00526652748689,0.0
2019,2019-08-27,37.02106411153101,10.989468943442766,mean_identity_fallback,306.0,,24.00526652748689,0.0
2019,2019-08-28,38.412160761232855,13.603653899083582,mean_identity_fallback,286.0,,26.00790733015822,0.0
2019,2019-08-29,38.20349626377758,19.910575320198276,black_curve,289.0,552.0,27.009224380859266,0.0
2019,2019-08-30,36.67328994910555,17.34515881261298,mean_identity_fallback,311.0,,27.009224380859266,0.0
2020,2020-05-01,22.833276896973466,nan,missing,507.0,,,1.0354699287092706
2020,2020-05-02,25.30455947231298,11.903942690542387,black_curve,471.5,664.0,,0.0
2020,2020-05-03,28.680818765382455,13.087373782958494,black_curve,423.0,647.0,,0.0
2020,2020-05-04,27.0100925172656,14.79290682791111,black_curve,447.0,622.5,24.242424445493004,0.0
2020,2020-05-05,24.64323033243339,12.669692220929278,black_curve,481.0,653.0,20.92226720356119,2.0498078180571273
2020,2020-05-06,20.7448690868274,9.084592146845196,black_curve,537.0,704.5,16.07377829370105,0.0
2020,2020-05-07,21.580232210885832,15.205004758977807,mean_identity_fallback,525.0,,18.39261848493182,0.0
2020,2020-05-08,25.61782064383489,8.910558162666362,black_curve,467.0,707.0,19.92095015286014,0.0
2020,2020-05-09,28.332750797024776,11.590681519020478,black_curve,428.0,668.5,23.372861049098773,0.0
2020,2020-05-10,30.00347704514163,14.827713624746885,black_curve,404.0,622.0,24.32147261731556,0.0
2020,2020-05-11,31.743816886930016,16.394019482356434,black_curve,379.0,599.5,27.140971333896854,0.0
2020,2020-05-12,30.00347704514163,28.072938700596133,mean_identity_fallback,404.0,,29.03820787286888,0.0
2020,2020-05-13,31.256521731229267,27.55770375659591,mean_identity_fallback,386.0,,29.407112743912588,0.0
2020,2020-05-14,32.43995282364537,26.953986062622107,mean_identity_fallback,369.0,,29.69696944313374,0.0
2020,2020-05-15,33.76261110340455,27.265057013221323,mean_identity_fallback,350.0,,30.513834058312938,0.0
2020,2020-05-16,31.952657667944624,17.298996200086393,black_curve,376.0,586.5,25.71805063093706,0.0
