lambda,p,cal_all_rmse,cal_high_rmse,objective
0.6,0.2,2.350995,4.317779,3.334387
0.65,0.2,2.349051,4.302105,3.325578
0.7,0.2,2.347158,4.286793,3.316976
0.75,0.2,2.345315,4.271847,3.308581
0.8,0.2,2.343523,4.257272,3.300397
0.85,0.2,2.341781,4.243071,3.292426
0.9,0.2,2.34009,4.229247,3.284668
0.95,0.2,2.338449,4.215805,3.277127
1.0,0.2,2.33686,4.202748,3.269804
1.05,0.2,2.335321,4.19008,3.2627
1.1,0.2,2.333834,4.177803,3.255819
1.15,0.2,2.332398,4.165923,3.24916
1.2,0.2,2.331013,4.154442,3.242727
1.25,0.2,2.329679,4.143363,3.236521
1.3,0.2,2.328397,4.13269,3.230543
1.35,0.2,2.327167,4.122425,3.224796
1.4,0.2,2.325988,4.112573,3.21928
1.45,0.2,2.324861,4.103135,3.213998
1.5,0.2,2.323785,4.094115,3.20895
1.55,0.2,2.322762,4.085515,3.204139
1.6,0.2,2.32179,4.077339,3.199565
1.65,0.2,2.320871,4.069588,3.19523
1.7,0.2,2.320003,4.062266,3.191135
1.75,0.2,2.319188,4.055373,3.187281
1.8,0.2,2.318425,4.048914,3.183669
1.85,0.2,2.317714,4.042889,3.180302
1.9,0.2,2.317055,4.037301,3.177178
1.95,0.2,2.316449,4.032151,3.1743
2.0,0.2,2.31584,4.026971,3.171405
2.05,0.2,2.315276,4.022172,3.168724
2.1,0.2,2.314757,4.017749,3.166253
2.15,0.2,2.31428,4.013684,3.163982
2.2,0.2,2.313846,4.009979,3.161912
2.25,0.2,2.313454,4.006634,3.160044
2.3,0.2,2.313105,4.003652,3.158378
2.35,0.2,2.312798,4.001031,3.156915
2.4,0.2,2.312534,3.998774,3.155654
2.45,0.2,2.312313,3.996881,3.154597
2.5,0.2,2.312134,3.995352,3.153743
2.55,0.2,2.311961,3.993869,3.152915
2.6,0.2,2.311809,3.992567,3.152188
2.65,0.2,2.311697,3.991607,3.151652
2.7,0.2,2.311625,3.99099,3.151308
2.75,0.2,2.311593,3.990717,3.151155
2.8,0.2,2.311601,3.990787,3.151194
2.85,0.2,2.311649,3.9912,3.151425
2.9,0.2,2.311738,3.991956,3.151847
2.95,0.2,2.311866,3.993055,3.15246
3.0,0.2,2.311985,3.994073,3.153029
3.05,0.2,2.312126,3.99528,3.153703
3.1,0.2,2.312301,3.99678,3.15454
3.15,0.2,2.312494,3.998428,3.155461
3.2,0.2,2.312694,4.00014,3.156417
3.25,0.2,2.312924,4.002111,3.157518
3.3,0.2,2.313184,4.004329,3.158756
3.35,0.2,2.313473,4.006796,3.160134
3.4,0.2,2.313791,4.009512,3.161652
3.45,0.2,2.314138,4.012477,3.163308
3.5,0.2,2.314515,4.01569,3.165103
3.55,0.2,2.314921,4.01915,3.167036
3.6,0.2,2.315356,4.022857,3.169107
3.65,0.2,2.315821,4.02681,3.171315
3.7,0.2,2.316312,4.030983,3.173647
3.75,0.2,2.31683,4.035389,3.17611
3.8,0.2,2.317366,4.039937,3.178651
3.85,0.2,2.317878,4.044278,3.181078
3.9,0.2,2.318383,4.048558,3.18347
3.95,0.2,2.318868,4.052665,3.185767
4.0,0.2,2.31937,4.056909,3.18814
0.0,0.25,2.378185,4.53268,3.455432
0.05,0.25,2.375736,4.513646,3.444691
0.1,0.25,2.373333,4.494909,3.434121
0.15,0.25,2.370976,4.476473,3.423724
0.2,0.25,2.368665,4.45834,3.413503
0.25,0.25,2.366401,4.440515,3.403458
0.3,0.25,2.364182,4.423001,3.393591
0.35,0.25,2.36201,4.405802,3.383906
0.4,0.25,2.359884,4.388922,3.374403
0.45,0.25,2.357805,4.372364,3.365085
0.5,0.25,2.355773,4.356133,3.355953
0.55,0.25,2.353788,4.340231,3.34701
0.6,0.25,2.35185,4.324663,3.338257
0.65,0.25,2.349959,4.309432,3.329696
0.7,0.25,2.348116,4.294541,3.321329
0.75,0.25,2.346319,4.279995,3.313157
0.8,0.25,2.344571,4.265796,3.305184
0.85,0.25,2.342869,4.251949,3.297409
0.9,0.25,2.341216,4.238456,3.289836
0.95,0.25,2.33961,4.225322,3.282466
1.0,0.25,2.338053,4.212548,3.2753
1.05,0.25,2.336543,4.20014,3.268341
1.1,0.25,2.335081,4.188099,3.26159
1.15,0.25,2.333668,4.176429,3.255048
1.2,0.25,2.332302,4.165134,3.248718
1.25,0.25,2.330986,4.154216,3.242601
1.3,0.25,2.329717,4.143678,3.236697
1.35,0.25,2.328497,4.133523,3.23101
1.4,0.25,2.327326,4.123754,3.22554
1.45,0.25,2.326203,4.114374,3.220289
1.5,0.25,2.325129,4.105386,3.215258
1.55,0.25,2.324104,4.096791,3.210448
1.6,0.25,2.323128,4.088593,3.205861
1.65,0.25,2.322201,4.080794,3.201497
1.7,0.25,2.321323,4.073396,3.197359
1.75,0.25,2.320493,4.066401,3.193447
1.8,0.25,2.319713,4.059812,3.189763
1.85,0.25,2.318982,4.05363,3.186306
1.9,0.25,2.3183,4.047857,3.183079
1.95,0.25,2.317668,4.042496,3.180082
2.0,0.25,2.317069,4.037419,3.177244
2.05,0.25,2.316478,4.032394,3.174436
2.1,0.25,2.31593,4.027739,3.171834
2.15,0.25,2.315423,4.023425,3.169424
2.2,0.25,2.314956,4.019446,3.167201
