alpha,beta,q0,cal_all_rmse,cal_high_rmse,objective
0.9,2.4,0.362628,2.396672,4.674494,3.535583
0.9,2.5,0.362628,2.396839,4.675755,3.536297
0.9,2.6,0.362628,2.396996,4.676945,3.53697
0.9,2.7,0.362628,2.397144,4.678069,3.537606
0.9,2.8,0.362628,2.397284,4.679133,3.538209
0.9,2.9,0.362628,2.397418,4.680143,3.53878
0.9,3.0,0.362628,2.397544,4.681103,3.539324
1.0,0.0,0.362628,2.372356,4.487268,3.429812
1.0,0.1,0.362628,2.377465,4.527092,3.452279
1.0,0.2,0.362628,2.38113,4.555496,3.468313
1.0,0.3,0.362628,2.383816,4.576227,3.480022
1.0,0.4,0.362628,2.385849,4.591866,3.488857
1.0,0.5,0.362628,2.387435,4.604041,3.495738
1.0,0.6,0.362628,2.388706,4.613782,3.501244
1.0,0.7,0.362628,2.389748,4.621759,3.505754
1.0,0.8,0.362628,2.39062,4.628423,3.509522
1.0,0.9,0.362628,2.391361,4.634084,3.512723
1.0,1.0,0.362628,2.392,4.638963,3.515482
1.0,1.1,0.362628,2.392559,4.643219,3.517889
1.0,1.2,0.362628,2.393051,4.646972,3.520012
1.0,1.3,0.362628,2.39349,4.650312,3.521901
1.0,1.4,0.362628,2.393883,4.653308,3.523596
1.0,1.5,0.362628,2.394239,4.656014,3.525127
1.0,1.6,0.362628,2.394563,4.658474,3.526518
1.0,1.7,0.362628,2.394858,4.660721,3.52779
1.0,1.8,0.362628,2.39513,4.662785,3.528958
