lambda,cal_all_rmse,cal_high_rmse,objective
1.015,2.417117,4.548704,3.48291
1.02,2.417032,4.548036,3.482534
1.025,2.416947,4.547369,3.482158
1.03,2.416863,4.546704,3.481784
1.035,2.416778,4.546041,3.48141
1.04,2.416694,4.54538,3.481037
1.045,2.41661,4.54472,3.480665
1.05,2.416526,4.544062,3.480294
1.055,2.416443,4.543405,3.479924
1.06,2.41636,4.54275,3.479555
1.065,2.416277,4.542097,3.479187
1.07,2.416194,4.541445,3.47882
1.075,2.416111,4.540796,3.478453
1.08,2.416029,4.540147,3.478088
1.085,2.415947,4.539501,3.477724
1.09,2.415865,4.538856,3.47736
1.095,2.415783,4.538212,3.476998
1.1,2.415702,4.537571,3.476636
1.105,2.41562,4.536931,3.476276
1.11,2.415539,4.536293,3.475916
1.115,2.415459,4.535656,3.475557
1.12,2.415378,4.535021,3.4752
1.125,2.415298,4.534388,3.474843
1.13,2.415217,4.533756,3.474487
1.135,2.415138,4.533126,3.474132
1.14,2.415058,4.532498,3.473778
1.145,2.414978,4.531871,3.473425
1.15,2.414899,4.531246,3.473073
1.155,2.41482,4.530623,3.472721
1.16,2.414741,4.530001,3.472371
1.165,2.414662,4.529381,3.472022
1.17,2.414584,4.528763,3.471674
1.175,2.414506,4.528146,3.471326
1.18,2.414428,4.527532,3.47098
1.185,2.41435,4.526918,3.470634
1.19,2.414273,4.526307,3.47029
1.195,2.414195,4.525697,3.469946
1.2,2.414118,4.525089,3.469603
1.205,2.414041,4.524482,3.469262
1.21,2.413965,4.523877,3.468921
1.215,2.413888,4.523274,3.468581
1.22,2.413812,4.522672,3.468242
1.225,2.413736,4.522072,3.467904
1.23,2.41366,4.521474,3.467567
1.235,2.413585,4.520878,3.467231
1.24,2.41351,4.520283,3.466896
1.245,2.413434,4.51969,3.466562
1.25,2.41336,4.519098,3.466229
1.255,2.413285,4.518509,3.465897
1.26,2.41321,4.517921,3.465566
1.265,2.413136,4.517334,3.465235
1.27,2.413062,4.516749,3.464906
1.275,2.412988,4.516166,3.464577
1.28,2.412915,4.515585,3.46425
1.285,2.412842,4.515005,3.463924
1.29,2.412768,4.514428,3.463598
1.295,2.412696,4.513851,3.463273
1.3,2.412623,4.513277,3.46295
1.305,2.41255,4.512704,3.462627
1.31,2.412478,4.512133,3.462305
1.315,2.412406,4.511563,3.461985
1.32,2.412334,4.510995,3.461665
1.325,2.412263,4.510429,3.461346
1.33,2.412192,4.509865,3.461028
1.335,2.41212,4.509302,3.460711
1.34,2.412049,4.508741,3.460395
1.345,2.411979,4.508181,3.46008
1.35,2.411908,4.507624,3.459766
1.355,2.411838,4.507068,3.459453
1.36,2.411768,4.506514,3.459141
1.365,2.411698,4.505961,3.45883
1.37,2.411629,4.50541,3.458519
1.375,2.411559,4.504861,3.45821
1.38,2.41149,4.504313,3.457902
1.385,2.411421,4.503768,3.457594
1.39,2.411353,4.503224,3.457288
1.395,2.411284,4.502681,3.456983
1.4,2.411216,4.502141,3.456678
1.405,2.411148,4.501602,3.456375
1.41,2.41108,4.501064,3.456072
1.415,2.411012,4.500529,3.455771
1.42,2.410945,4.499995,3.45547
1.425,2.410878,4.499463,3.45517
1.43,2.410811,4.498932,3.454872
1.435,2.410744,4.498403,3.454574
1.44,2.410678,4.497876,3.454277
1.445,2.410611,4.497351,3.453981
1.45,2.410545,4.496827,3.453686
1.455,2.41048,4.496305,3.453393
1.46,2.410414,4.495785,3.4531
1.465,2.410349,4.495267,3.452808
1.47,2.410283,4.49475,3.452517
1.475,2.410219,4.494235,3.452227
1.48,2.410154,4.493722,3.451938
1.485,2.410089,4.49321,3.45165
1.49,2.410025,4.4927,3.451362
1.495,2.409961,4.492192,3.451076
1.5,2.409897,4.491685,3.450791
1.505,2.409834,4.49118,3.450507
1.51,2.40977,4.490677,3.450224
1.515,2.409707,4.490176,3.449941
1.52,2.409644,4.489676,3.44966
1.525,2.409581,4.489178,3.44938
1.53,2.409519,4.488682,3.4491
1.535,2.409457,4.488187,3.448822
1.54,2.409395,4.487695,3.448545
1.545,2.409333,4.487204,3.448268
1.55,2.409271,4.486714,3.447993
1.555,2.40921,4.486227,3.447718
1.56,2.409149,4.485741,3.447445
1.565,2.409088,4.485256,3.447172
1.57,2.409027,4.484774,3.4469
1.575,2.408966,4.484293,3.44663
1.58,2.408906,4.483814,3.44636
1.585,2.408846,4.483337,3.446091
1.59,2.408786,4.482861,3.445824
1.595,2.408727,4.482387,3.445557
1.6,2.408667,4.481915,3.445291
1.605,2.408608,4.481445,3.445026
1.61,2.408549,4.480976,3.444763
1.615,2.40849,4.480509,3.4445
1.62,2.408432,4.480044,3.444238
1.625,2.408373,4.47958,3.443977
1.63,2.408315,4.479119,3.443717
1.635,2.408258,4.478659,3.443458
1.64,2.4082,4.4782,3.4432
1.645,2.408143,4.477744,3.442943
1.65,2.408085,4.477289,3.442687
1.655,2.408028,4.476836,3.442432
1.66,2.407972,4.476384,3.442178
1.665,2.407915,4.475935,3.441925
1.67,2.407859,4.475487,3.441673
1.675,2.407803,4.475041,3.441422
1.68,2.407747,4.474596,3.441171
1.685,2.407691,4.474153,3.440922
1.69,2.407636,4.473712,3.440674
1.695,2.407581,4.473273,3.440427
1.7,2.407526,4.472835,3.440181
1.705,2.407471,4.4724,3.439935
1.71,2.407417,4.471966,3.439691
1.715,2.407362,4.471533,3.439448
1.72,2.407308,4.471103,3.439205
1.725,2.407254,4.470674,3.438964
1.73,2.407201,4.470247,3.438724
1.735,2.407147,4.469821,3.438484
1.74,2.407094,4.469398,3.438246
1.745,2.407041,4.468976,3.438008
1.75,2.406988,4.468556,3.437772
1.755,2.406936,4.468137,3.437537
1.76,2.406884,4.467721,3.437302
1.765,2.406832,4.467306,3.437069
1.77,2.40678,4.466892,3.436836
1.775,2.406728,4.466481,3.436605
1.78,2.406677,4.466071,3.436374
1.785,2.406625,4.465663,3.436144
1.79,2.406575,4.465257,3.435916
1.795,2.406524,4.464853,3.435688
1.8,2.406473,4.46445,3.435462
1.805,2.406423,4.464049,3.435236
1.81,2.406373,4.46365,3.435011
1.815,2.406323,4.463252,3.434788
1.82,2.406273,4.462856,3.434565
1.825,2.406224,4.462462,3.434343
1.83,2.406175,4.46207,3.434123
1.835,2.406126,4.46168,3.433903
1.84,2.406077,4.461291,3.433684
1.845,2.406029,4.460904,3.433466
1.85,2.40598,4.460519,3.43325
1.855,2.405932,4.460135,3.433034
1.86,2.405884,4.459753,3.432819
1.865,2.405837,4.459373,3.432605
1.87,2.405789,4.458995,3.432392
1.875,2.405742,4.458619,3.43218
1.88,2.405695,4.458244,3.43197
1.885,2.405649,4.457871,3.43176
1.89,2.405602,4.4575,3.431551
1.895,2.405556,4.45713,3.431343
1.9,2.40551,4.456762,3.431136
1.905,2.405464,4.456396,3.43093
1.91,2.405418,4.456032,3.430725
1.915,2.405373,4.45567,3.430521
1.92,2.405328,4.455309,3.430318
