gamma,cal_all_rmse,cal_high_rmse,objective
0.368,2.405573,4.457272,3.431423
0.37,2.405631,4.457732,3.431682
0.372,2.405692,4.458214,3.431953
0.374,2.405755,4.458717,3.432236
0.376,2.405815,4.459202,3.432509
0.378,2.405878,4.459703,3.432791
0.38,2.405944,4.460225,3.433084
0.382,2.406011,4.460767,3.433389
0.384,2.406081,4.461321,3.433701
0.386,2.406151,4.46188,3.434016
0.388,2.406224,4.462459,3.434342
0.39,2.406299,4.463059,3.434679
0.392,2.406377,4.463679,3.435028
0.394,2.406457,4.46432,3.435388
0.396,2.40654,4.464981,3.43576
0.398,2.406625,4.465662,3.436144
0.4,2.406713,4.466365,3.436539
0.402,2.406804,4.467087,3.436946
0.404,2.406897,4.467831,3.437364
0.406,2.406993,4.468595,3.437794
0.408,2.407092,4.46938,3.438236
0.41,2.407193,4.470186,3.438689
0.412,2.407297,4.471012,3.439155
0.414,2.407403,4.47186,3.439632
0.416,2.407512,4.472729,3.44012
0.418,2.407622,4.4736,3.440611
0.42,2.40773,4.474463,3.441096
0.422,2.40783,4.475253,3.441541
0.424,2.407928,4.476037,3.441982
0.426,2.408029,4.476838,3.442434
0.428,2.408132,4.477659,3.442896
0.43,2.408237,4.478499,3.443368
0.432,2.408345,4.479357,3.443851
0.434,2.408456,4.480234,3.444345
0.436,2.408568,4.48113,3.444849
0.438,2.408683,4.482045,3.445364
0.44,2.408786,4.482862,3.445824
0.442,2.408889,4.48368,3.446285
0.444,2.408994,4.484516,3.446755
0.446,2.409102,4.485371,3.447237
0.448,2.409212,4.486245,3.447728
0.45,2.409324,4.487137,3.448231
0.452,2.409439,4.488048,3.448744
0.454,2.409556,4.488978,3.449267
0.456,2.409672,4.489899,3.449785
0.458,2.40979,4.490837,3.450314
0.46,2.40991,4.491784,3.450847
0.462,2.41003,4.492741,3.451386
0.464,2.410153,4.493716,3.451935
0.466,2.410278,4.494709,3.452494
0.468,2.410406,4.49572,3.453063
0.47,2.410536,4.49675,3.453643
0.472,2.410667,4.497788,3.454227
0.474,2.410798,4.498828,3.454813
0.476,2.410931,4.499882,3.455407
0.478,2.411047,4.500803,3.455925
0.48,2.411161,4.501707,3.456434
0.482,2.411277,4.502626,3.456951
0.484,2.411395,4.50356,3.457477
0.486,2.411515,4.504509,3.458012
0.488,2.411637,4.505474,3.458555
0.49,2.411761,4.506454,3.459107
