solar_date,year,sunset_reduction_c,ts_capped_at_tmin,rise_monotonic,postpeak_to_midnight_monotonic,midnight_to_tmin_monotonic,below_tmin_c,above_tmax_c
2021-06-08,2021,6.731666765103036,NO,YES,YES,YES,0.0,0.0
2021-06-20,2021,5.683060602486979,NO,YES,YES,YES,0.0,0.0
2021-06-21,2021,1.4844225218741869,NO,YES,YES,YES,0.0,0.0
2021-06-24,2021,0.5663741938495548,NO,YES,YES,YES,0.0,0.0
2021-06-25,2021,8.869741538253368,NO,YES,YES,YES,0.0,0.0
2021-06-29,2021,0.18029554678740922,NO,YES,YES,YES,0.0,0.0
2021-07-05,2021,0.2301000802279205,NO,YES,YES,YES,0.0,0.0
2021-07-10,2021,0.43655245790737496,NO,YES,YES,YES,0.0,0.0
2021-07-11,2021,10.545192660779342,NO,YES,YES,YES,0.0,0.0
2021-07-16,2021,0.7052782398546533,NO,YES,YES,YES,0.0,0.0
2021-07-17,2021,4.33784390250932,NO,YES,YES,YES,0.0,0.0
2021-07-30,2021,11.215500753626909,NO,YES,YES,YES,0.0,0.0
2021-07-31,2021,13.386767069670146,YES,YES,YES,YES,0.0,0.0
2021-08-03,2021,2.162416674833352,NO,YES,YES,YES,0.0,0.0
2021-08-12,2021,1.184056690901329,NO,YES,YES,YES,0.0,0.0
2021-08-13,2021,3.6741750652203535,NO,YES,YES,YES,0.0,0.0
2021-09-01,2021,2.26210234437157,NO,YES,YES,YES,0.0,0.0
2021-09-08,2021,0.032698860024193976,NO,YES,YES,YES,0.0,0.0
2021-09-10,2021,9.700486746953615,NO,YES,YES,YES,0.0,0.0
2021-09-19,2021,3.124562760487059,NO,YES,YES,YES,0.0,0.0
2021-09-27,2021,0.48710471624072227,NO,YES,YES,YES,0.0,0.0
2022-05-04,2022,0.8368720791341282,NO,YES,YES,YES,0.0,0.0
2022-05-25,2022,8.343802198372064,NO,YES,YES,YES,0.0,0.0
2022-05-26,2022,0.49097409103135803,NO,YES,YES,YES,0.0,0.0
2022-06-14,2022,1.2691065403386688,NO,YES,YES,YES,0.0,0.0
2022-06-16,2022,3.7850322818320237,NO,YES,YES,YES,0.0,0.0
2022-06-23,2022,0.590145887895595,NO,YES,YES,YES,0.0,0.0
2022-06-24,2022,0.9569728496305601,NO,YES,YES,YES,0.0,0.0
2022-06-28,2022,1.5948036347296295,NO,YES,YES,YES,0.0,0.0
2022-06-29,2022,0.5301395690021771,NO,YES,YES,YES,0.0,0.0
2022-06-30,2022,1.7312294346329757,NO,YES,YES,YES,0.0,0.0
2022-07-01,2022,14.000357959740423,YES,YES,YES,YES,0.0,0.0
2022-07-04,2022,0.4660945824317331,NO,YES,YES,YES,0.0,0.0
2022-07-05,2022,4.018623648433881,NO,YES,YES,YES,0.0,0.0
2022-07-19,2022,8.62352107515823,NO,YES,YES,YES,0.0,0.0
2022-07-22,2022,1.4543998347662814,NO,YES,YES,YES,0.0,0.0
2022-07-24,2022,4.770262225233523,NO,YES,YES,YES,0.0,0.0
2022-09-06,2022,1.871875692053976,NO,YES,YES,YES,0.0,0.0
2022-09-08,2022,0.3709453837885306,NO,YES,YES,YES,0.0,0.0
2022-09-09,2022,1.2989387845379596,NO,YES,YES,YES,0.0,0.0
2022-09-28,2022,10.557974168545156,NO,YES,YES,YES,0.0,0.0
2023-05-01,2023,5.958544194708622,NO,YES,YES,YES,0.0,0.0
2023-05-09,2023,1.8635785083057606,NO,YES,YES,YES,0.0,0.0
2023-05-10,2023,0.084681818584869,NO,YES,YES,YES,0.0,0.0
2023-05-11,2023,0.1304391696444256,NO,YES,YES,YES,0.0,0.0
2023-05-12,2023,0.3667927600040102,NO,YES,YES,YES,0.0,0.0
2023-06-12,2023,6.035369128282873,NO,YES,YES,YES,0.0,0.0
2023-06-26,2023,9.583040364813236,NO,YES,YES,YES,0.0,0.0
2023-06-27,2023,0.15249053047103445,NO,YES,YES,YES,0.0,0.0
2023-06-28,2023,5.16020799243849,NO,YES,YES,YES,0.0,0.0
2023-06-29,2023,13.260841682267603,YES,YES,YES,YES,0.0,0.0
2023-07-03,2023,0.8201372477378435,NO,YES,YES,YES,0.0,0.0
2023-07-13,2023,0.12280064751387698,NO,YES,YES,YES,0.0,0.0
2023-07-14,2023,1.949308075244744,NO,YES,YES,YES,0.0,0.0
2023-07-15,2023,0.4259151038340647,NO,YES,YES,YES,0.0,0.0
2023-07-20,2023,0.6192394338573735,NO,YES,YES,YES,0.0,0.0
2023-07-21,2023,0.5367138592988638,NO,YES,YES,YES,0.0,0.0
2023-07-28,2023,4.142796982467786,NO,YES,YES,YES,0.0,0.0
2023-08-08,2023,9.796938965411549,NO,YES,YES,YES,0.0,0.0
2023-08-11,2023,0.3540000709786284,NO,YES,YES,YES,0.0,0.0
2023-08-12,2023,16.88114596417547,YES,YES,YES,YES,0.0,0.0
2023-08-13,2023,0.2477672526253336,NO,YES,YES,YES,0.0,0.0
2023-08-27,2023,0.025297425952643948,NO,YES,YES,YES,0.0,0.0
2023-08-28,2023,4.29842860801288,NO,YES,YES,YES,0.0,0.0
2023-09-05,2023,9.396233185296538,NO,YES,YES,YES,0.0,0.0
2023-09-13,2023,1.5168657802413463,NO,YES,YES,YES,0.0,0.0
2024-05-02,2024,1.5427620419597687,NO,YES,YES,YES,0.0,0.0
2024-05-03,2024,0.9189118002335483,NO,YES,YES,YES,0.0,0.0
2024-05-04,2024,3.658159872264953,NO,YES,YES,YES,0.0,0.0
2024-05-05,2024,2.336624313590466,NO,YES,YES,YES,0.0,0.0
2024-05-10,2024,0.13324203390405387,NO,YES,YES,YES,0.0,0.0
2024-05-11,2024,0.0857889435613366,NO,YES,YES,YES,0.0,0.0
2024-05-12,2024,0.946700092854762,NO,YES,YES,YES,0.0,0.0
2024-05-17,2024,3.075260690821235,NO,YES,YES,YES,0.0,0.0
2024-05-21,2024,10.946611576515377,NO,YES,YES,YES,0.0,0.0
2024-05-26,2024,7.758144023998163,NO,YES,YES,YES,0.0,0.0
2024-05-27,2024,4.186992000627487,NO,YES,YES,YES,0.0,0.0
2024-05-28,2024,0.04627407258169214,NO,YES,YES,YES,0.0,0.0
2024-06-22,2024,0.11212121341670311,NO,YES,YES,YES,0.0,0.0
2024-07-16,2024,2.556960944220428,NO,YES,YES,YES,0.0,0.0
2024-07-18,2024,1.9449009197374565,NO,YES,YES,YES,0.0,0.0
2024-07-19,2024,7.002375625609069,NO,YES,YES,YES,0.0,0.0
2024-08-11,2024,10.728136458629884,NO,YES,YES,YES,0.0,0.0
2024-08-18,2024,2.888950891936638,NO,YES,YES,YES,0.0,0.0
2024-08-19,2024,13.31864197917702,YES,YES,YES,YES,0.0,0.0
2024-09-01,2024,0.1671769556186682,NO,YES,YES,YES,0.0,0.0
2024-09-02,2024,16.581371828685135,YES,YES,YES,YES,0.0,0.0
2024-09-07,2024,14.650261212118068,YES,YES,YES,YES,0.0,0.0
2024-09-20,2024,0.34630580663972665,NO,YES,YES,YES,0.0,0.0
2024-09-26,2024,8.788246233764017,NO,YES,YES,YES,0.0,0.0
