solar_date,month,season,n_points,formal_dtr_c,daily_rmse_c,daily_mae_c,daily_mbe_c
2000-09-27,9,May-Sep,8,5.6,0.9872,0.75,0.0593
2000-09-28,9,May-Sep,8,8.3,0.7741,0.5316,-0.4212
2000-09-29,9,May-Sep,8,11.7,1.4157,0.9136,-0.3353
2000-09-30,9,May-Sep,8,7.7,1.9479,1.7099,0.419
2000-10-01,10,Other,8,5.0,0.7001,0.5458,0.1957
2000-10-02,10,Other,8,8.6,0.8921,0.6614,-0.4912
2000-10-03,10,Other,8,7.2,0.4299,0.3486,-0.0092
2000-10-04,10,Other,8,11.9,0.917,0.811,0.1538
2000-10-05,10,Other,8,8.6,4.474,3.906,2.3777
2000-10-06,10,Other,8,5.0,0.5412,0.4821,0.2151
2000-10-07,10,Other,8,8.3,1.3252,1.0415,0.3745
2000-10-08,10,Other,7,8.8,4.9091,4.4993,1.5465
2000-10-09,10,Other,8,5.5,1.1068,0.8409,0.5263
2000-10-10,10,Other,8,7.8,0.7692,0.6185,0.0107
2000-10-11,10,Other,8,6.9,0.5362,0.4898,0.1225
2000-10-12,10,Other,8,7.8,0.8649,0.4677,-0.3626
2000-10-13,10,Other,8,9.8,1.1378,0.818,-0.4366
2000-10-14,10,Other,8,10.7,1.0692,0.8906,-0.2124
2000-10-15,10,Other,8,11.1,4.2669,3.9862,-0.1964
2000-10-16,10,Other,8,7.5,2.2337,1.7232,0.6771
2000-10-17,10,Other,8,7.0,3.1612,2.234,1.803
2000-10-18,10,Other,8,5.1,0.6161,0.5437,0.2075
2000-10-19,10,Other,8,5.2,0.7946,0.6827,-0.4872
2000-10-20,10,Other,8,6.3,0.5111,0.4606,0.0164
2000-10-21,10,Other,8,8.3,3.5724,3.1401,0.8452
2000-10-22,10,Other,8,8.0,4.1255,3.5476,0.8893
2000-10-23,10,Other,8,5.6,1.4676,1.056,-0.5174
2000-10-24,10,Other,8,6.1,0.5252,0.4199,-0.367
2000-10-25,10,Other,8,9.2,1.1856,0.9095,0.2727
2000-10-26,10,Other,8,4.4,1.5166,1.0812,0.7357
2000-10-27,10,Other,8,3.8,0.8401,0.6764,0.559
2000-10-28,10,Other,7,9.0,2.3713,2.0064,0.5004
2000-10-29,10,Other,8,10.8,2.0422,1.6265,0.6893
2000-10-30,10,Other,8,7.3,2.6676,1.9469,1.567
2000-10-31,10,Other,8,6.2,1.1269,0.8878,-0.0743
2000-11-01,11,Other,8,6.0,0.749,0.5004,-0.0314
2000-11-02,11,Other,8,8.0,4.2626,3.9048,0.6821
2000-11-03,11,Other,8,7.6,1.2269,0.9136,0.4338
2000-11-04,11,Other,8,7.9,0.4582,0.3495,0.0893
2000-11-05,11,Other,8,4.7,2.659,2.2528,1.2926
2000-11-06,11,Other,8,5.5,0.9716,0.6881,-0.4879
2000-11-07,11,Other,8,4.3,0.8046,0.615,-0.243
2000-11-08,11,Other,6,2.7,0.2915,0.2522,0.2522
2000-11-09,11,Other,8,6.4,1.362,1.0464,-0.8075
2000-11-10,11,Other,8,6.6,0.9035,0.7773,-0.372
2000-11-11,11,Other,7,6.2,0.6949,0.4776,-0.1404
2000-11-12,11,Other,8,7.2,0.6078,0.438,-0.0374
2000-11-13,11,Other,6,6.7,1.2233,0.8901,-0.455
2000-11-14,11,Other,7,3.6,1.1948,1.0323,-0.0057
2000-11-15,11,Other,8,9.5,1.9989,1.5434,1.2342
