branch,k,n,cal_rmse
pre,2.47,95,8.083346122860497
pre,2.48,95,8.083262863107812
pre,2.49,95,8.083179625180199
pre,2.5,95,8.083096409066954
pre,2.5100000000000002,95,8.08301321475737
pre,2.52,95,8.082930042240772
pre,2.5300000000000002,95,8.082846891506476
pre,2.54,95,8.08276376254381
pre,2.5500000000000003,95,8.082680655342129
pre,2.56,95,8.082597569890773
pre,2.57,95,8.08251450617911
pre,2.58,95,8.08243146419651
pre,2.59,95,8.082348443932354
pre,2.6,95,8.082265445376027
pre,2.61,95,8.082182468516931
pre,2.62,95,8.08209951334447
pre,2.63,95,8.08201657984806
pre,2.64,95,8.08193366801713
pre,2.65,95,8.081850777841103
pre,2.66,95,8.081767909309427
pre,2.67,95,8.081685062411548
pre,2.68,95,8.081602237136925
pre,2.69,95,8.081519433475021
pre,2.7,95,8.081436651415311
pre,2.71,95,8.081353890947277
pre,2.72,95,8.081271152060406
pre,2.73,95,8.081188434744197
pre,2.74,95,8.081105738988153
pre,2.75,95,8.081023064781785
pre,2.7600000000000002,95,8.080940412114614
pre,2.77,95,8.080857780976169
pre,2.7800000000000002,95,8.080775171355983
pre,2.79,95,8.080692583243598
pre,2.8000000000000003,95,8.080610016628562
pre,2.81,95,8.080527471500433
pre,2.82,95,8.080444947848774
pre,2.83,95,8.080362445663159
pre,2.84,95,8.080279964933162
pre,2.85,95,8.08019750564837
pre,2.86,95,8.08011506779837
pre,2.87,95,8.080032651372768
pre,2.88,95,8.07995025636117
pre,2.89,95,8.079867882753186
pre,2.9,95,8.079785530538437
pre,2.91,95,8.079703199706545
pre,2.92,95,8.079620890247151
pre,2.93,95,8.07953860214989
pre,2.94,95,8.079456335404414
pre,2.95,95,8.079374090000368
pre,2.96,95,8.07929186592742
pre,2.97,95,8.079209663175233
pre,2.98,95,8.079127481733483
pre,2.99,95,8.079045321591849
pre,3.0,95,8.078963182740013
pre,3.0100000000000002,95,8.078881065167675
pre,3.02,95,8.078798968864529
pre,3.0300000000000002,95,8.078716893820287
pre,3.04,95,8.078634840024657
pre,3.0500000000000003,95,8.078552807467355
pre,3.06,95,8.078470796138118
pre,3.0700000000000003,95,8.078388806026668
pre,3.08,95,8.078306837122746
pre,3.09,95,8.078224889416092
pre,3.1,95,8.078142962896464
pre,3.11,95,8.078061057553615
pre,3.12,95,8.077979173377313
pre,3.13,95,8.077897310357324
pre,3.14,95,8.077815468483422
pre,3.15,95,8.077733647745392
pre,3.16,95,8.077651848133021
pre,3.17,95,8.077570069636106
pre,3.18,95,8.07748831224445
pre,3.19,95,8.077406575947856
pre,3.2,95,8.07732486073614
pre,3.21,95,8.077243166599116
pre,3.22,95,8.077161493526617
pre,3.23,95,8.07707984150847
pre,3.24,95,8.076998210534517
pre,3.25,95,8.0769166005946
pre,3.2600000000000002,95,8.076835011678568
pre,3.27,95,8.07675344377628
pre,3.2800000000000002,95,8.076671896877595
pre,3.29,95,8.076590370972387
pre,3.3000000000000003,95,8.076508866050526
pre,3.31,95,8.076427382101892
pre,3.3200000000000003,95,8.076345919116374
pre,3.33,95,8.076264477083868
pre,3.34,95,8.076183055994269
pre,3.35,95,8.076101655837478
pre,3.36,95,8.076020276603417
pre,3.37,95,8.075938918281993
pre,3.38,95,8.07585758086313
pre,3.39,95,8.075776264336762
pre,3.4,95,8.075694968692822
pre,3.41,95,8.075613693921248
pre,3.42,95,8.075532440011987
pre,3.43,95,8.075451206954995
pre,3.44,95,8.075369994740232
pre,3.45,95,8.075288803357656
pre,3.46,95,8.075207632797248
pre,3.47,95,8.075126483048974
pre,3.48,95,8.075045354102823
pre,3.49,95,8.074964245948783
pre,3.5,95,8.074883158576847
pre,3.5100000000000002,95,8.074802091977016
pre,3.52,95,8.074721046139297
pre,3.5300000000000002,95,8.0746400210537
pre,3.54,95,8.074559016710245
pre,3.5500000000000003,95,8.074478033098956
pre,3.56,95,8.074397070209859
pre,3.5700000000000003,95,8.074316128032997
pre,3.58,95,8.074235206558406
pre,3.59,95,8.074154305776135
pre,3.6,95,8.074073425676241
pre,3.61,95,8.073992566248778
pre,3.62,95,8.07391172748381
pre,3.63,95,8.073830909371415
pre,3.64,95,8.073750111901667
pre,3.65,95,8.073669335064645
pre,3.66,95,8.073588578850439
pre,3.67,95,8.073507843249144
pre,3.68,95,8.073427128250865
pre,3.69,95,8.073346433845698
pre,3.7,95,8.073265760023762
pre,3.71,95,8.073185106775174
pre,3.72,95,8.073104474090055
pre,3.73,95,8.073023861958536
pre,3.74,95,8.072943270370754
