alpha,cal_rmse_all,cal_rmse_dtr_ge15,balanced_score
0.765,2.421173966716488,5.5508864253302725,0.9802448708124867
0.77,2.4210759394324732,5.549848829320305,0.9801343260517915
0.775,2.4209781435002857,5.548813529887282,0.9800240289152657
0.78,2.420880578947964,5.54778052831693,0.9799139795207352
0.785,2.420783245803484,5.54674982589308,0.9798041779858477
0.79,2.4206861440947587,5.54572142389766,0.9796946244280724
0.795,2.4205892738496413,5.544695323610685,0.9795853189646992
0.8,2.420492635095921,5.543671526310251,0.9794762617128379
0.805,2.420396227861327,5.542650033272531,0.979367452789418
0.81,2.4203000521735243,5.541630845771763,0.9792588923111876
0.815,2.4202041080601178,5.540613965080248,0.9791505803947134
0.82,2.4201083955486493,5.53959939246834,0.9790425171563792
0.825,2.4200129146665983,5.53858712920444,0.9789347027123865
0.83,2.4199176654413828,5.537577176554983,0.9788271371787518
0.835,2.419822647900358,5.536569535784444,0.978719820671309
0.84,2.419727862070818,5.535564208155319,0.9786127533057057
0.845,2.4196333079799928,5.534561194928121,0.9785059351974048
0.85,2.419538985655051,5.533560497361377,0.9783993664616828
0.855,2.4194448951230996,5.532562116711615,0.978293047213629
0.86,2.419351036411182,5.531566054233363,0.978186977568146
0.865,2.419257409546279,5.530572311179136,0.9780811576399477
0.87,2.419164014555311,5.529580888799434,0.9779755875435603
0.875,2.4190708514651336,5.52859178834273,0.9778702673933195
0.88,2.4189779203025403,5.527605011055468,0.9777651973033716
0.885,2.418885221094263,5.526620558182053,0.9776603773876731
0.89,2.4187927538669696,5.525638430964843,0.9775558077599882
0.895,2.418700518647267,5.524658630644146,0.9774514885338901
0.9,2.418608515461698,5.523681158458209,0.9773474198227592
0.905,2.4185167443367437,5.522706015643211,0.977243601739783
0.91,2.4184252052988207,5.52173320343326,0.9771400343979557
0.915,2.418333898374285,5.520762723060381,0.9770367179100767
0.92,2.4182428235894284,5.519794575754513,0.9769336523887509
0.925,2.41815198097048,5.518828762743499,0.9768308379463875
0.93,2.418061370543606,5.51786528525308,0.9767282746951996
0.935,2.4179709923349098,5.516904144506891,0.9766259627472039
0.94,2.4178808463704318,5.515945341726447,0.9765239022142191
0.945,2.4177909326761493,5.514988878131142,0.9764220932078667
0.95,2.4177012512779767,5.514034754938241,0.976320535839569
0.955,2.4176118022017645,5.51308297336287,0.976219230220549
0.96,2.417522585473301,5.5121335346180125,0.9761181764618303
0.965,2.4174336011183115,5.511186439914502,0.9760173746742362
0.97,2.4173448491624563,5.510241690461011,0.9759168249683883
0.975,2.4172563296313347,5.509299287464049,0.9758165274547068
0.98,2.4171680425504816,5.508359232127955,0.9757164822434099
0.985,2.4170799879453684,5.507421525654886,0.9756166894445122
0.99,2.4169921658414038,5.506486169244815,0.9755171491678256
0.995,2.4169045762639323,5.505553164095521,0.9754178615229572
1.0,2.416817219238235,5.5046225114025855,0.9753188266193094
1.005,2.4167300947895307,5.503694212359379,0.9752200445660794
1.01,2.4166432029429736,5.502768268157063,0.9751215154722586
1.015,2.4165565437236545,5.501844679984575,0.9750232394466312
1.02,2.4164701171566008,5.500923449028623,0.9749252165977746
1.025,2.4163839232667765,5.500004576473687,0.9748274470340584
1.03,2.4162979620790814,5.499088063501999,0.9747299308636436
1.035,2.4162122336183525,5.498173911293543,0.9746326681944819
1.04,2.4161267379093614,5.497262121026053,0.974535659134316
1.045,2.4160414749768178,5.496352693874994,0.9744389037906773
1.05,2.415956444845367,5.495445631013563,0.9743424022708873
1.055,2.41587164753959,5.494540933612685,0.9742461546820553
1.06,2.415787083084004,5.4936386028409965,0.9741501611310788
1.065,2.4157027515030634,5.492738639864847,0.9740544217246427
1.07,2.415618652821157,5.491841045848286,0.9739589365692181
1.075,2.4155347870626107,5.490945821953062,0.9738637057710622
1.08,2.4154511542516865,5.490052969338612,0.9737687294362183
1.085,2.4153677544125816,5.489162489162055,0.9736740076705137
1.09,2.41528458756943,5.488274382578185,0.9735795405795608
1.095,2.415201653746301,5.4873886507394625,0.9734853282687543
1.1,2.4151189529671995,5.486505294796014,0.9733913708432733
1.105,2.4150364852560675,5.485624315895617,0.9732976684080785
1.11,2.414954250636781,5.484745715183698,0.9732042210679127
1.115,2.4148722491331536,5.4838694938033266,0.9731110289272998
1.12,2.414790480768933,5.482995652895203,0.9730180920905442
1.125,2.4147089455678037,5.482124193597657,0.9729254106617307
1.13,2.4146276435533855,5.481255117046638,0.9728329847447228
1.135,2.414546574749234,5.480388424375709,0.9727408144431633
1.14,2.4144657391788393,5.479524116716042,0.972648899860473
1.145,2.4143851368656293,5.478662195196406,0.9725572410998504
1.15,2.414304767832965,5.477802660943163,0.9724658382642708
1.155,2.414224632104145,5.476945515080264,0.9723746914564861
1.16,2.4141447297024015,5.47609075872924,0.972283800779024
1.165,2.414065060650903,5.47523839300919,0.9721931663341867
1.17,2.4139856249727534,5.474388419036785,0.972102788224052
1.175,2.4139064226909923,5.473540837926251,0.9720126665504711
1.18,2.413827453828594,5.472695650789368,0.9719228014150688
1.185,2.4137487184084687,5.4718528587354625,0.9718331929192424
1.19,2.4136702164534607,5.471012462871398,0.9717438411641616
1.195,2.413591947986351,5.470174464301573,0.9716547462507679
1.2,2.413513913029855,5.46933886412791,0.9715659082797734
1.205,2.4134361116066234,5.468505663449848,0.971477327351661
1.21,2.4133585437392413,5.467674863364343,0.9713890035666831
1.215,2.4132812094502305,5.466846464965853,0.9713009370248615
1.22,2.413204108762047,5.466020469346334,0.971213127825987
1.225,2.413127241697081,5.465196877595236,0.9711255760696176
1.23,2.413050608277659,5.464375690799494,0.9710382818550793
1.235,2.4129742085260424,5.46355691004352,0.9709512452814653
1.24,2.4128980424644264,5.462740536409201,0.9708644664476342
1.245,2.4128221101149423,5.461926570975885,0.9707779454522114
1.25,2.4127464114996555,5.461115014820383,0.9706916823935863
1.255,2.4126709466405667,5.4603058690169535,0.9706056773699137
1.26,2.412595715559611,5.459499134637305,0.9705199304791117
1.265,2.412520718278659,5.45869481275058,0.9704344418188622
1.27,2.412445954819515,5.457892904423358,0.9703492114866097
1.275,2.412371425203919,5.457093410719639,0.9702642395795609
1.28,2.412297129453546,5.4562963327008465,0.9701795261946844
1.285,2.412223067590003,5.455501671425812,0.9700950714287089
1.29,2.412149239634835,5.4547094279507755,0.9700108753781249
1.295,2.4120756456095203,5.453919603329376,0.9699269381391817
1.3,2.4120022855354706,5.453132198612643,0.9698432598078884
1.305,2.411929159434034,5.452347214848994,0.9697598404800127
1.31,2.4118562673264923,5.451564653084226,0.9696766802510803
1.315,2.4117836092340608,5.450784514361509,0.9695937792163747
1.32,2.4117111851778907,5.4500067997213755,0.969511137470936
1.325,2.4116389951790675,5.449231510201725,0.9694287551095615
1.33,2.41156703925861,5.448458646837804,0.9693466322268034
1.335,2.4114953174374723,5.447688210662209,0.9692647689169696
1.34,2.4114238297365427,5.446920202704877,0.969183165274123
1.345,2.411352576176643,5.446154623993078,0.96910182139208
1.35,2.41128155677853,5.44539147555141,0.9690207373644111
1.355,2.4112107715628954,5.44463075840179,0.9689399132844395
1.36,2.4111402205503634,5.443872473563454,0.9688593492452408
1.365,2.4110699037614935,5.4431166220529414,0.9687790453396425
1.37,2.410999821216779,5.4423632048840975,0.9686990016602236
1.375,2.4109299729366476,5.441612223068059,0.9686192182993135
1.38,2.410860358941461,5.4408636776132555,0.9685396953489921
1.385,2.4107909792515145,5.440117569525396,0.9684604329010886
1.39,2.4107218338870378,5.4393738998074666,0.9683814310471812
1.395,2.4106529228681945,5.438632669459723,0.9683026898785969
1.4,2.4105842462150826,5.437893879479686,0.9682242094864104
1.405,2.4105158039477335,5.437157530862132,0.9681459899614437
1.41,2.4104475960861125,5.4364236245990885,0.968068031394266
1.415,2.410379622650119,5.435692161679826,0.9679903338751921
1.42,2.410311883659586,5.434963143090857,0.967912897494283
1.425,2.410244379134281,5.434236569815922,0.9678357223413444
1.43,2.410177109093904,5.4335124428359896,0.9677588085059272
1.435,2.4101100735580903,5.432790763129245,0.9676821560773257
1.44,2.410043272546408,5.43207153167109,0.9676057651445782
1.445,2.4099767060783583,5.43135474943413,0.9675296357964651
1.45,2.4099103741733785,5.430640417388172,0.9674537681215104
1.455,2.4098442768508366,5.429928536500219,0.9673781622079789
1.46,2.409778414130036,5.42921910773446,0.967302818143877
1.465,2.4097127860302128,5.428512132052267,0.9672277360169521
1.47,2.409647392570538,5.427807610412188,0.9671529159146914
1.475,2.4095822337701143,5.427105543769939,0.9670783579243218
1.48,2.4095173096479794,5.426405933078401,0.9670040621328098
1.485,2.4094526202231035,5.4257087792876115,0.9669300286268595
1.49,2.4093881655143914,5.4250140833447595,0.9668562574929142
1.495,2.4093239455406796,5.42432184619418,0.9667827488171535
1.5,2.4092599603207403,5.423632068777343,0.966709502685495
