replicate,beta,year_blocks,n_anchor_observations
73,1.1424098457884637,17,2570
74,1.2612766735703913,17,2574
75,1.0476864099293848,17,2562
76,1.085333820448308,17,2572
77,1.057171225309388,17,2574
78,1.088860422643673,17,2556
79,1.09900934845229,17,2561
80,1.1096164914446587,17,2566
81,1.0630212711034857,17,2560
82,1.0815748202264635,17,2561
83,1.150388535762515,17,2585
84,1.0950916455962816,17,2559
85,1.1293150027284484,17,2567
86,1.2162048258133233,17,2571
87,1.0731136366265703,17,2562
88,1.098294995680967,17,2531
89,1.1708126373244252,17,2570
90,1.2555657302013206,17,2570
91,0.9991620422579455,17,2554
92,1.0826480958784723,17,2535
93,1.272175496804264,17,2589
94,1.0560420935493542,17,2545
95,1.0318060906653668,17,2556
96,0.9930569795329506,17,2574
97,1.1869596070950874,17,2565
98,1.126746214898574,17,2562
99,1.1929372836648087,17,2591
100,1.1340149864629478,17,2549
101,1.2142725746574519,17,2565
102,1.2384942725735995,17,2580
103,1.175627220545658,17,2581
104,1.1814327784543266,17,2576
105,1.092715393825225,17,2563
106,1.1827260701962183,17,2564
107,1.1204526200546978,17,2542
108,1.1602953702843555,17,2578
109,1.1669702484082722,17,2574
110,1.1602751737267094,17,2578
111,1.1947263088883124,17,2584
112,1.0977904111748065,17,2564
113,1.0623014413282066,17,2554
114,1.1075697335157375,17,2571
115,0.9735552423562287,17,2572
116,1.1798919148583584,17,2557
117,1.069933582228244,17,2569
118,1.0204853620508034,17,2558
119,1.1632379074295736,17,2568
120,1.187607485244803,17,2583
121,0.9910380162768931,17,2553
122,1.1834951299272345,17,2564
123,1.1663111918093603,17,2582
124,1.078679658859421,17,2555
125,1.0290290413271035,17,2562
126,1.155908592656408,17,2569
127,1.1509790109553042,17,2567
128,1.2126974305382887,17,2566
129,1.0589194458133655,17,2551
130,1.0913443078521425,17,2564
131,1.2243020804554845,17,2556
132,1.1237464334777187,17,2573
133,1.2635608391824809,17,2576
134,1.1628434116647859,17,2555
135,1.1040054892342865,17,2581
136,1.0657877899182242,17,2554
137,1.0360042167090178,17,2540
138,1.0807535143047942,17,2568
139,1.0879863855636758,17,2571
140,1.200740848404266,17,2572
141,1.1234449209862511,17,2565
142,1.1248244421483018,17,2552
143,1.0068367425514786,17,2546
144,1.1007869441791829,17,2560
145,1.1069666651023222,17,2565
146,1.0921827981041108,17,2570
147,1.045059223754533,17,2576
148,1.0773725870688324,17,2549
149,1.155964483332212,17,2585
150,1.2326193687902895,17,2561
151,1.156034197432051,17,2572
152,1.1833471327448626,17,2582
153,1.1630652286342429,17,2579
154,1.1003334467916952,17,2557
155,1.0819399451274068,17,2570
156,1.0770556255348482,17,2581
157,1.071861967790673,17,2559
158,1.1726622847911616,17,2587
159,1.1086333250295815,17,2578
160,1.1456503469057644,17,2560
161,1.1166228500176978,17,2563
162,1.0831455860379342,17,2559
163,1.0584793138394368,17,2561
164,1.2195733989725184,17,2550
165,1.1828615587158382,17,2566
166,1.0675226599090104,17,2576
167,1.1015668193596277,17,2572
168,1.0671421223861632,17,2577
169,1.1349833614539884,17,2563
170,1.1173817056171906,17,2559
171,1.0438728151604426,17,2560
172,1.0659131780843396,17,2558
173,1.2118402694443755,17,2571
174,1.139300987435946,17,2567
175,1.047411001092212,17,2553
176,1.0849883167757945,17,2560
177,1.1446307283457378,17,2569
178,1.1285126283771403,17,2571
179,1.0749299463654682,17,2561
180,1.1682474567406267,17,2567
181,1.0935727263436232,17,2548
182,1.1010197865765072,17,2560
183,1.282371710745183,17,2579
184,1.0706508907626646,17,2580
185,1.1102145709629805,17,2540
186,1.1343607135272333,17,2561
187,1.2193069440223168,17,2575
188,1.1825003395475344,17,2571
189,1.114607268701683,17,2573
190,1.2398176178872808,17,2558
191,1.1035821593839645,17,2563
