model,year,n,RMSE_C,MAE_C,Bias_C
REG_SEASONAL_Q0,2005,1219,2.351481185975416,1.4505763537024756,0.36418796413924687
REG_SEASONAL_Q0,2006,1221,2.4594717339672756,1.5232629096066297,0.34524230371235454
REG_SEASONAL_Q0,2007,1216,2.7734980914384426,1.6364918666908401,0.4787258841038384
REG_SEASONAL_Q0,2008,1220,2.270980570996037,1.36717248115656,0.3515114232713254
REG_SEASONAL_Q0,2009,1220,2.4880710715543914,1.5178885946371072,0.369061866599152
REG_SEASONAL_Q0,2010,1221,2.3495693058662317,1.4601703830179127,0.4854645304845961
REG_SEASONAL_Q0,2011,1223,2.1252101737017797,1.3317791412904387,0.33210964530604636
REG_SEASONAL_Q0,2012,1223,2.0506016030787153,1.308728721663225,0.33852175799096285
REG_SEASONAL_Q0,2013,40,1.8747541304247926,1.216854896964008,-0.45130523972405817
REG_SEASONAL_Q0,2014,820,1.68408433690613,1.0637473539262357,-0.36713337050304573
REG_SEASONAL_Q0,2015,176,1.7649437119898779,1.2509944018335064,-0.49715533101421094
REG_SEASONAL_Q0,2018,70,1.0689570675965634,0.8371872385665937,-0.21147684637956027
REG_SEASONAL_Q0,2020,1205,2.7833437240472807,1.843791912959579,-0.009911597868003996
REG_SEASONAL_Q0,2021,1214,2.8835102952285525,1.9110401273468673,0.04012662111346259
REG_SEASONAL_Q0,2022,1180,2.550671114836063,1.7222917378915032,-0.050558387535455655
REG_SEASONAL_Q0,2023,1069,2.8394966046876964,1.9039851487488764,-0.09890587222803923
REG_SEASONAL_Q0,2024,1179,2.858988402446711,1.889166441260422,-0.032461775390605775
REG_SEASONAL_Q0.5,2000,1204,2.5208817230572,1.5437368140211132,0.2304405765201178
REG_SEASONAL_Q0.5,2001,1206,2.632116852723241,1.6324734636141685,0.34961220013067346
REG_SEASONAL_Q0.5,2002,1188,2.3648387541781126,1.5031139108527516,0.35808180011352947
REG_SEASONAL_Q0.5,2003,1203,2.297855338547126,1.4795167694305444,0.36292164828467727
REG_SEASONAL_Q0.5,2004,1203,2.485877500861582,1.5260894544650148,0.4281354604364389
REG_SEASONAL_Q0.5,2005,1219,2.370314853759409,1.4594363203785221,0.41104231436288313
REG_SEASONAL_Q0.5,2006,1221,2.4585219173803603,1.5201363539463477,0.383368509693327
REG_SEASONAL_Q0.5,2007,1216,2.790535876032265,1.642186393297684,0.519512574836086
REG_SEASONAL_Q0.5,2008,1220,2.284218641754934,1.3685035101675842,0.3864549978657623
REG_SEASONAL_Q0.5,2009,1220,2.508806831932979,1.521348493982514,0.41970217384247105
REG_SEASONAL_Q0.5,2010,1221,2.3501372193832526,1.4576138457698562,0.5197758495458522
REG_SEASONAL_Q0.5,2011,1223,2.1417908219873927,1.3333690334724584,0.3711866716715364
REG_SEASONAL_Q0.5,2012,1223,2.062905201220874,1.3091280146191822,0.373455010689918
REG_SEASONAL_Q0.5,2013,40,1.8490122633980386,1.2042041839465674,-0.4143858495654017
REG_SEASONAL_Q0.5,2014,820,1.6685797759293868,1.0512217531298047,-0.32463412406438497
REG_SEASONAL_Q0.5,2015,176,1.7381395318801618,1.2297054076546774,-0.45006302371617257
REG_SEASONAL_Q0.5,2018,70,1.0614841089842773,0.8305697198299115,-0.19275432087368305
REG_SEASONAL_Q0.5,2020,1205,2.787261470203632,1.8401934804780953,0.04526260492861909
REG_SEASONAL_Q0.5,2021,1214,2.9005807825875065,1.9178385245487806,0.0915592912816404
REG_SEASONAL_Q0.5,2022,1180,2.5744826043515996,1.7330493295310623,0.024966959940279244
REG_SEASONAL_Q0.5,2023,1069,2.8502649637223105,1.9059868119216026,-0.04534588639701195
REG_SEASONAL_Q0.5,2024,1179,2.864382240880279,1.8869458456504111,0.020202673240890083
REG_SEASONAL_Q1,2000,1204,2.506559397325397,1.5252877205347848,0.2684938391161092
REG_SEASONAL_Q1,2001,1206,2.6478056432573944,1.6330591055226464,0.4136994186591417
REG_SEASONAL_Q1,2002,1188,2.365770230503597,1.4980058915156487,0.39610877509088477
REG_SEASONAL_Q1,2003,1203,2.3015627363032896,1.4792915388789432,0.37608318167616334
REG_SEASONAL_Q1,2004,1203,2.498183085260825,1.5237259313348879,0.4650653732735902
REG_SEASONAL_Q1,2005,1219,2.396557375618496,1.4681891341238305,0.4619488912659599
REG_SEASONAL_Q1,2006,1221,2.4605686301570335,1.51753645302779,0.41808382083960505
REG_SEASONAL_Q1,2007,1216,2.8028885655656848,1.6432687653138898,0.5609433506512078
REG_SEASONAL_Q1,2008,1220,2.3035470790806483,1.3721429246952177,0.4293924066889547
REG_SEASONAL_Q1,2009,1220,2.545538603430493,1.527300390297367,0.48172096655136043
REG_SEASONAL_Q1,2010,1221,2.3566678549626854,1.4552001015076927,0.5540671494950336
REG_SEASONAL_Q1,2011,1223,2.140540588238015,1.3311018605365534,0.39719506653231895
REG_SEASONAL_Q1,2012,1223,2.067293716979722,1.3077260213582744,0.4052523123516333
REG_SEASONAL_Q1,2013,40,1.845762472057639,1.2033158377768693,-0.3935423825657899
REG_SEASONAL_Q1,2014,820,1.6553861411399577,1.036593397987861,-0.2741724537864501
REG_SEASONAL_Q1,2015,176,1.7291255109022847,1.2238381895207706,-0.4381161417364973
REG_SEASONAL_Q1,2018,70,1.0547537419286406,0.8257240744596259,-0.18328695463221503
REG_SEASONAL_Q1,2020,1205,2.8011478425565444,1.8397148400283707,0.11482741215798244
REG_SEASONAL_Q1,2021,1214,2.949797930043622,1.9380279672377374,0.19797658782270633
REG_SEASONAL_Q1,2022,1180,2.5906426148209407,1.7366447737563067,0.08803913150006301
REG_SEASONAL_Q1,2023,1069,2.858496303408612,1.901041232959655,0.037471596425781954
REG_SEASONAL_Q1,2024,1179,2.8775853622764216,1.8874900302103563,0.08647146356124717
