scenario,arm,KRT,year,treatment,observed_kg_ha,simulated_kg_ha,error_kg_ha,ADAT,MDAT,CWAM,ETCP,IRCM,SRADA
SRAD19P8_N_OFF,M15_13P5,0.0,2019,W1,9250,10921.0,1671.0,2019183,2019230,20008,443.6,439,19.8
SRAD19P8_N_OFF,M15_13P5,0.0,2019,W2,10725,10921.0,196.0,2019183,2019230,20008,443.6,472,19.8
SRAD19P8_N_OFF,M15_13P5,0.0,2019,W3,12490,10921.0,-1569.0,2019183,2019230,20008,443.6,506,19.8
SRAD19P8_N_OFF,M15_13P5,0.0,2019,W4,12030,10921.0,-1109.0,2019183,2019230,20008,443.6,540,19.8
SRAD19P8_N_OFF,M15_13P5,0.0,2020,W1,9275,14631.0,5356.0,2020184,2020234,25069,428.7,439,19.8
SRAD19P8_N_OFF,M15_13P5,0.0,2020,W2,11100,14630.0,3530.0,2020184,2020234,25063,428.8,472,19.8
SRAD19P8_N_OFF,M15_13P5,0.0,2020,W3,12030,14630.0,2600.0,2020184,2020234,25065,428.8,506,19.8
SRAD19P8_N_OFF,M15_13P5,0.0,2020,W4,11595,14630.0,3035.0,2020184,2020234,25066,428.8,540,19.8
SRAD19P8_N_OFF,M15_13P8,0.0,2019,W1,9250,10920.0,1670.0,2019183,2019230,20002,443.6,439,19.8
SRAD19P8_N_OFF,M15_13P8,0.0,2019,W2,10725,10920.0,195.0,2019183,2019230,20002,443.6,472,19.8
SRAD19P8_N_OFF,M15_13P8,0.0,2019,W3,12490,10920.0,-1570.0,2019183,2019230,20002,443.6,506,19.8
SRAD19P8_N_OFF,M15_13P8,0.0,2019,W4,12030,10920.0,-1110.0,2019183,2019230,20002,443.6,540,19.8
SRAD19P8_N_OFF,M15_13P8,0.0,2020,W1,9275,14374.0,5099.0,2020184,2020234,24816,428.7,439,19.8
SRAD19P8_N_OFF,M15_13P8,0.0,2020,W2,11100,14373.0,3273.0,2020184,2020234,24811,428.8,472,19.8
SRAD19P8_N_OFF,M15_13P8,0.0,2020,W3,12030,14373.0,2343.0,2020184,2020234,24812,428.8,506,19.8
SRAD19P8_N_OFF,M15_13P8,0.0,2020,W4,11595,14373.0,2778.0,2020184,2020234,24813,428.8,540,19.8
SRAD19P8_N_OFF,M15_13P8_HR,1.0,2019,W1,9250,10044.0,794.0,2019183,2019230,18791,443.5,439,19.8
SRAD19P8_N_OFF,M15_13P8_HR,1.0,2019,W2,10725,10044.0,-681.0,2019183,2019230,18791,443.5,472,19.8
SRAD19P8_N_OFF,M15_13P8_HR,1.0,2019,W3,12490,10044.0,-2446.0,2019183,2019230,18791,443.5,506,19.8
SRAD19P8_N_OFF,M15_13P8_HR,1.0,2019,W4,12030,10044.0,-1986.0,2019183,2019230,18791,443.5,540,19.8
SRAD19P8_N_OFF,M15_13P8_HR,1.0,2020,W1,9275,13635.0,4360.0,2020184,2020234,23810,428.8,439,19.8
SRAD19P8_N_OFF,M15_13P8_HR,1.0,2020,W2,11100,13634.0,2534.0,2020184,2020234,23804,428.9,472,19.8
SRAD19P8_N_OFF,M15_13P8_HR,1.0,2020,W3,12030,13634.0,1604.0,2020184,2020234,23805,428.9,506,19.8
SRAD19P8_N_OFF,M15_13P8_HR,1.0,2020,W4,11595,13634.0,2039.0,2020184,2020234,23807,428.9,540,19.8
SRAD19P8_N_OFF,REGIONAL,0.0,2019,W1,9250,11040.0,1790.0,2019182,2019229,19981,441.7,439,19.9
SRAD19P8_N_OFF,REGIONAL,0.0,2019,W2,10725,11040.0,315.0,2019182,2019229,19981,441.7,472,19.9
SRAD19P8_N_OFF,REGIONAL,0.0,2019,W3,12490,11040.0,-1450.0,2019182,2019229,19981,441.7,506,19.9
SRAD19P8_N_OFF,REGIONAL,0.0,2019,W4,12030,11040.0,-990.0,2019182,2019229,19981,441.7,540,19.9
SRAD19P8_N_OFF,REGIONAL,0.0,2020,W1,9275,14558.0,5283.0,2020183,2020234,25018,428.7,439,19.8
SRAD19P8_N_OFF,REGIONAL,0.0,2020,W2,11100,14558.0,3458.0,2020183,2020234,25013,428.8,472,19.8
SRAD19P8_N_OFF,REGIONAL,0.0,2020,W3,12030,14558.0,2528.0,2020183,2020234,25014,428.8,506,19.8
SRAD19P8_N_OFF,REGIONAL,0.0,2020,W4,11595,14558.0,2963.0,2020183,2020234,25015,428.8,540,19.8
SRAD19P8_N_OFF,REGIONAL_HR,1.0,2019,W1,9250,10082.0,832.0,2019182,2019229,18721,441.6,439,19.9
SRAD19P8_N_OFF,REGIONAL_HR,1.0,2019,W2,10725,10082.0,-643.0,2019182,2019229,18721,441.7,472,19.9
SRAD19P8_N_OFF,REGIONAL_HR,1.0,2019,W3,12490,10082.0,-2408.0,2019182,2019229,18721,441.7,506,19.9
SRAD19P8_N_OFF,REGIONAL_HR,1.0,2019,W4,12030,10082.0,-1948.0,2019182,2019229,18721,441.7,540,19.9
SRAD19P8_N_OFF,REGIONAL_HR,1.0,2020,W1,9275,13711.0,4436.0,2020183,2020234,23888,428.9,439,19.8
SRAD19P8_N_OFF,REGIONAL_HR,1.0,2020,W2,11100,13710.0,2610.0,2020183,2020234,23884,428.9,472,19.8
SRAD19P8_N_OFF,REGIONAL_HR,1.0,2020,W3,12030,13710.0,1680.0,2020183,2020234,23885,428.9,506,19.8
SRAD19P8_N_OFF,REGIONAL_HR,1.0,2020,W4,11595,13711.0,2116.0,2020183,2020234,23887,428.9,540,19.8
SRAD19P8_N_OFF,M15_HR_K0.25,0.25,2019,W1,9250,10701.0,1451.0,2019183,2019230,19699,443.6,439,19.8
SRAD19P8_N_OFF,M15_HR_K0.25,0.25,2019,W2,10725,10701.0,-24.0,2019183,2019230,19699,443.6,472,19.8
SRAD19P8_N_OFF,M15_HR_K0.25,0.25,2019,W3,12490,10701.0,-1789.0,2019183,2019230,19699,443.6,506,19.8
SRAD19P8_N_OFF,M15_HR_K0.25,0.25,2019,W4,12030,10701.0,-1329.0,2019183,2019230,19699,443.6,540,19.8
SRAD19P8_N_OFF,M15_HR_K0.25,0.25,2020,W1,9275,14283.0,5008.0,2020184,2020234,24669,428.7,439,19.8
SRAD19P8_N_OFF,M15_HR_K0.25,0.25,2020,W2,11100,14282.0,3182.0,2020184,2020234,24662,428.8,472,19.8
SRAD19P8_N_OFF,M15_HR_K0.25,0.25,2020,W3,12030,14282.0,2252.0,2020184,2020234,24664,428.8,506,19.8
SRAD19P8_N_OFF,M15_HR_K0.25,0.25,2020,W4,11595,14282.0,2687.0,2020184,2020234,24666,428.8,540,19.8
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,2019,W1,9250,10800.0,1550.0,2019182,2019229,19665,441.7,439,19.9
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,2019,W2,10725,10800.0,75.0,2019182,2019229,19665,441.7,472,19.9
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,2019,W3,12490,10800.0,-1690.0,2019182,2019229,19665,441.7,506,19.9
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,2019,W4,12030,10800.0,-1230.0,2019182,2019229,19665,441.7,540,19.9
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,2020,W1,9275,14464.0,5189.0,2020183,2020234,24860,428.8,439,19.8
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,2020,W2,11100,14464.0,3364.0,2020183,2020234,24855,428.8,472,19.8
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,2020,W3,12030,14464.0,2434.0,2020183,2020234,24856,428.8,506,19.8
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,2020,W4,11595,14464.0,2869.0,2020183,2020234,24857,428.8,540,19.8
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,2019,W1,9250,10482.0,1232.0,2019183,2019230,19397,443.5,439,19.8
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,2019,W2,10725,10482.0,-243.0,2019183,2019230,19397,443.6,472,19.8
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,2019,W3,12490,10482.0,-2008.0,2019183,2019230,19397,443.6,506,19.8
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,2019,W4,12030,10482.0,-1548.0,2019183,2019230,19397,443.6,540,19.8
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,2020,W1,9275,14170.0,4895.0,2020184,2020234,24491,428.8,439,19.8
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,2020,W2,11100,14169.0,3069.0,2020184,2020234,24485,428.8,472,19.8
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,2020,W3,12030,14170.0,2140.0,2020184,2020234,24486,428.8,506,19.8
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,2020,W4,11595,14170.0,2575.0,2020184,2020234,24489,428.8,540,19.8
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,2019,W1,9250,10561.0,1311.0,2019182,2019229,19351,441.7,439,19.9
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,2019,W2,10725,10561.0,-164.0,2019182,2019229,19351,441.7,472,19.9
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,2019,W3,12490,10561.0,-1929.0,2019182,2019229,19351,441.7,506,19.9
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,2019,W4,12030,10561.0,-1469.0,2019182,2019229,19351,441.7,540,19.9
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,2020,W1,9275,14301.0,5026.0,2020183,2020234,24630,428.8,439,19.8
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,2020,W2,11100,14300.0,3200.0,2020183,2020234,24625,428.9,472,19.8
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,2020,W3,12030,14301.0,2271.0,2020183,2020234,24627,428.9,506,19.8
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,2020,W4,11595,14301.0,2706.0,2020183,2020234,24627,428.8,540,19.8
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,2019,W1,9250,10263.0,1013.0,2019183,2019230,19094,443.5,439,19.8
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,2019,W2,10725,10263.0,-462.0,2019183,2019230,19094,443.5,472,19.8
