*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:19:46

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2020 220    96    94  103.7   66.0   37.7   1.02   0.73  131.4   17.6   20.1    0.7   0.73   0.98    0.00    6.00
 2020 221    97    95  104.7   67.9   36.8   1.02   0.72  132.5   17.3   19.6    0.7   0.72   0.99    0.00    6.12
 2020 222    98    96  105.7   69.3   36.4   1.02   0.71  133.7   17.1   19.3    0.7   0.71   1.00    0.00    6.24
 2020 223    99    97  111.4   71.0   40.5   1.02   0.80  140.0   19.2   21.3    0.8   0.80   1.02    0.00    6.36
 2020 224   100    98  114.6   73.1   41.6   1.02   0.82  143.5   19.8   21.8    0.8   0.82   1.03    0.00    6.48
 2020 225   101    99  116.5   75.2   41.2   1.03   0.82  145.5   19.8   21.4    0.8   0.82   1.04    0.00    6.60
 2020 226   102   100  117.7   78.5   39.2   1.03   0.80  146.9   19.3   19.9    0.8   0.80   1.04    0.00    6.72
 2020 227   103   101  119.6   81.4   38.2   1.04   0.81  149.0   19.4   18.7    0.8   0.81   1.05    0.00    6.85
 2020 228   104   102  120.9   84.5   36.5   1.04   0.78  150.5   18.9   17.5    0.8   0.78   1.06    0.00    6.97
 2020 229   105   103  121.9   87.6   34.3   1.05   0.75  151.5   18.2   16.1    0.8   0.75   1.06    0.00    7.09
 2020 230   106   104  121.9   87.6   34.3   1.05   0.75  151.5   18.2   16.1    0.8   0.75   1.06    0.00    7.09
 2020 231   107   105  121.9   87.6   34.3   1.05   0.75  151.5   18.2   16.1    0.8   0.75   1.06    0.00    7.09
 2020 232   108   106  121.9   87.6   34.3   1.05   0.75  151.5   18.2   16.1    0.8   0.75   1.06    0.00    7.09
