mode,arm,DTRc_C,alpha,split,DTR_bin,n,rmse,mae,mbe,r2
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_val_2017_2024,18-<20,72,5.644594203645545,4.508918383390787,-0.8677104780378488,0.5012540947562055
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_val_2017_2024,13-<14,719,2.7215408332625155,1.873667887450121,0.077039671410771,0.8350254306261027
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_val_2017_2024,14-<14.3,190,3.2987076373209256,2.241576038054677,0.19442746006913356,0.7090241309995404
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_val_2017_2024,14.3-<14.5,134,2.481250134225573,1.6717524497468568,-0.16435521354867053,0.8466544161554571
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_val_2017_2024,14.5-<14.8,101,2.727052932015798,2.075661786256255,-0.8953372423091964,0.8022248058662612
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_val_2017_2024,14.8-<15,104,3.263404289860824,2.5389233681693955,-0.11084646607721846,0.7872782810666542
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_val_2017_2024,15-<18,856,4.406632728710686,3.175285848732042,0.10618734011904102,0.6561889322986867
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_val_2017_2024,18-<20,72,5.61770630463982,4.479174300572043,-0.8105947819240417,0.5022547828706929
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,14-<14.3,190,3.3517511902545816,2.2720678025598557,0.256025115775645,0.7013366432456042
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,14.3-<14.5,134,2.5050269544639674,1.6834720994704617,-0.11191302189510814,0.8437473175838708
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,14.5-<14.8,101,2.7252806983069733,2.0686104414421527,-0.8166474335048359,0.7975858361252337
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,14.8-<15,104,3.28321781909539,2.5484306951491944,-0.01512124610233346,0.7830842369155212
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,15-<18,856,4.405040729133146,3.1660101745579197,0.17633538769822343,0.6553531317692066
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,18-<20,72,5.598515209471378,4.456323614023862,-0.7610777341869869,0.5023197823775036
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14-<14.3,190,3.383468271982799,2.2897192688325125,0.28774293383612537,0.6970972174945248
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14.3-<14.5,134,2.561571426135907,1.7108264524326842,-0.017990628468662756,0.8374013395464666
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14.5-<14.8,101,2.776812636799741,2.070814259815712,-0.5774991803356947,0.7774934046251968
